;ITALIAN
DIALOG/story/endgame/ashley_ghl_generator3_02;Perfetto. Questo ci dà controllo spaziale su tre assi e maggiore consapevolezza situazionale durante la ricognizione di nuove missioni. Siamo a un passo dalla piena capacità operativa della GHL.
DIALOG/story/endgame/mech_ghl_generator4_01;Dispiegamento dell’ultimo Generatore di Raggio Gravitone Fase‑coerente avviato. Il completamento di questa unità abiliterà la capacità operativa completa.
DIALOG/story/endgame/ashley_ghl_generator4_01;È l’ultimo tassello del puzzle. Una volta online, potremo spostare grandi oggetti in orbita senza accendere un solo booster. Ci permetterà di tenere un’arcologia sospesa mentre gli sciami di nanobot la assemblano. Sollevare un oggetto di tali dimensioni richiederebbe un enorme sforzo con i mezzi convenzionali.
DIALOG/story/endgame/mech_ghl_generator4_02;Il Colonnello Norstrom aveva ragione su quella parte del sacrificio, Ashley. La maggior parte dei Riftbreaker non rischierebbe di prolungare la propria missione per impostare tutta questa infrastruttura elaborata. Il tuo piano è solido. Ridurrà i danni all’ecosistema galateano, ma stai mettendo in gioco la tua vita. Queste missioni dovrebbero essere completate il più rapidamente possibile per aumentare le probabilità di sopravvivenza.
DIALOG/story/endgame/ashley_ghl_generator4_02;Oh, andiamo, Mr. Riggs. La nostra base è armata fino ai denti, e posso saltare al QG ogni volta che vieni distrutto. L’ondata d’attacco che ha colpito la nostra base quando abbiamo attivato la Stazione di Fenditura è stata la sfida più dura che potessimo aspettarci. Sono più al sicuro qui che a casa.
DIALOG/story/endgame/mech_ghl_generator4_03;Stai banalizzando la questione, Ashley. Forse è questo che ti rende adatta al lavoro.
DIALOG/story/endgame/mech_ghl_generator4_04;Generatore di Raggio Gravitone Fase‑coerente Quattro per la Lente Ipergravitazionale pienamente operativo. Tutti i componenti della Megastruttura sono completi. La Lente Ipergravitazionale è ora pronta a funzionare alla massima capacità.
DIALOG/story/endgame/ashley_ghl_generator4_03;Eccellente! Finire la Lente Ipergravitazionale è un grande traguardo. Possiamo finalmente depennarla dalla lista.
DIALOG/story/endgame/mech_nanobot_start_01;Avvio costruzione del Centro di Controllo dello Sciame Nanobot. Questa struttura ci consentirà di coordinare l’attività autonoma dei nanobot su grandi cantieri.
DIALOG/story/endgame/ashley_nanobot_start_01;Eccellente. Ci serve questo centro per fabbricare Arcologie e altre strutture molto grandi. Gli sciami di nanobot ci permetteranno di costruire habitat massicci e autosufficienti senza rimodellare l’ambiente con l’industria pesante tradizionale. L’Officina di Arcologia in particolare si affida a operazioni nanobot precise per costruire strutture sospese in aria.
DIALOG/story/endgame/mech_nanobot_start_02;Una volta attivo, il Centro di Controllo Nanobot assorbe una quantità significativa di energia e richiede un numero consistente di Nuclei AI per mantenere la coordinazione. Avremo bisogno di una rete energetica stabile e di infrastrutture dedicate a supporto.
DIALOG/story/endgame/ashley_nanobot_start_02;Il Centro di Controllo Nanobot può essere un aiuto notevole nell’impostare nuove sedi di base. Una volta online, consentirà di operare da remoto un numero limitato di Nuclei AI aggiuntivi in qualsiasi località planetaria senza costruire Hub AI locali.
DIALOG/story/endgame/mech_nanobot_complete_01;La costruzione della base per il Centro di Controllo dello Sciame Nanobot è completa. L’Antenna della Rete di Controllo Operativo è sincronizzata con lo Scanner Planetario ed è pronta per operazioni di assemblaggio distribuite.
DIALOG/story/endgame/ashley_nanobot_complete_01;Grazie a questo abbinamento, potremo beneficiare dell’operatività remota di Nuclei AI aggiuntivi in altre località planetarie senza costruire Hub AI locali. Tuttavia, questa struttura deve rimanere sempre pienamente operativa. Qualsiasi interruzione comporterà l’immediata perdita della capacità estesa dei Nuclei AI.
DIALOG/story/endgame/mech_nanobot_complete_02;Permettimi di ricordarti, Ashley, che questo è solo il primo passo. Per abilitare la costruzione su larga scala di un’Arcologia, dobbiamo completare altri quattro componenti del Centro di Controllo dello Sciame Nanobot. Raccomando di prioritarne la ricerca e il dispiegamento il prima possibile.
DIALOG/story/endgame/ashley_nanobot_complete_02;Ci servirà molto più Titanio per finire. Mettiamoci al lavoro.
DIALOG/story/endgame/mech_nanobot_upgrade_01_start_01;Inizio costruzione della Prima Forgia Nanitica. Questo componente aumenterà la capacità produttiva del Centro di Controllo dello Sciame Nanobot.
DIALOG/story/endgame/ashley_nanobot_upgrade_01_start_01;Questo aumenterà il nostro limite di Nuclei AI remoti. Con la Forgia online, potremo controllare più unità sul pianeta senza costruire Hub AI locali.
DIALOG/story/endgame/mech_nanobot_upgrade_01_complete_01;Prima Forgia Nanitica per il Centro di Controllo dello Sciame Nanobot pienamente operativa. L’output dei nanobot è aumentato in modo significativo. Sincronizzazione con i sistemi di controllo confermata.
DIALOG/story/endgame/ashley_nanobot_upgrade_01_complete_01;Eccellente. Un altro passo verso la piena autonomia. Più Nuclei AI a nostra disposizione, ovunque servano.
DIALOG/story/endgame/mech_nanobot_upgrade_02_start_01;Avvio installazione dell’Acceleratore di Atomizzazione delle Risorse. Questo componente migliorerà l’efficienza di acquisizione risorse per il Centro di Controllo dello Sciame Nanobot.
DIALOG/story/endgame/ashley_nanobot_upgrade_02_start_01;Questo aumenterà la velocità di elaborazione e ci permetterà di attivare da remoto ancora più Nuclei AI. Ogni upgrade amplia la nostra portata senza aumentare l’impronta.
DIALOG/story/endgame/mech_nanobot_upgrade_02_complete_01;L’Acceleratore di Atomizzazione delle Risorse per il Centro di Controllo dello Sciame Nanobot è online. La velocità di lavorazione delle materie prime è aumentata, permettendoci di supportare sciami di nanobot più grandi.
DIALOG/story/endgame/ashley_nanobot_upgrade_02_complete_01;Perfetto. Con l’efficienza extra, ora possiamo mantenere Nuclei AI remoti aggiuntivi senza sovraccaricare il sistema.
DIALOG/story/endgame/mech_nanobot_upgrade_03_start_01;Inizio costruzione del Riciclatore Nanobot. Questo upgrade migliorerà l’efficienza dei materiali all’interno del Centro di Controllo dello Sciame Nanobot recuperando e rielaborando i bot disattivati.
DIALOG/story/endgame/ashley_nanobot_upgrade_03_start_01;Ridurrà lo stress del sistema rimuovendo le unità inattive e liberando spazio per allocare altri Nuclei AI remoti. Stiamo costruendo una struttura di comando scalabile, un nodo alla volta.
DIALOG/story/endgame/mech_nanobot_upgrade_03_complete_01;Riciclatore Nanobot per il Centro di Controllo dello Sciame Nanobot pienamente operativo. La perdita interna di risorse è diminuita e i sistemi di recupero sono stabili.
DIALOG/story/endgame/ashley_nanobot_upgrade_03_complete_01;Questo libera banda e ci dà margine per espandere. Più Nuclei AI online e meno materiali sprecati.
DIALOG/story/endgame/mech_nanobot_upgrade_04_start_01;Upgrade finale in corso. Costruzione della Seconda Forgia Nanitica per il Centro di Controllo dello Sciame Nanobot.
DIALOG/story/endgame/ashley_nanobot_upgrade_04_start_01;Lo sciame di nanobot non è solo una questione di numeri. Per assemblare un’Arcologia serve una forza di fabbricazione abbastanza grande e stabile da supportare elementi costruttivi enormi. Senza questa forgia, lo sciame non ha sufficiente throughput per sollevare, posizionare e fondere componenti di scala megastrutturale. Una volta completato questo upgrade, potremo finalmente gestire dimensioni e complessità dell’assemblaggio su scala Arcologia.
DIALOG/story/endgame/mech_nanobot_upgrade_04_complete_01;Seconda Forgia Nanitica per il Centro di Controllo dello Sciame Nanobot operativa. La produzione di nanobot ha raggiunto la capacità di picco.
DIALOG/story/endgame/ashley_nanobot_upgrade_04_complete_01;È fatta. Questa Megastruttura è finalmente completa. Puoi depennarla dalla lista, Mr. Riggs. Ora lo sciame è abbastanza grande e veloce da supportare il processo di assemblaggio dell’Arcologia. 
DIALOG/story/endgame/mech_hydroponic_start_01;Avvio costruzione del Laboratorio di Sostenibilità Idroponica. Il progetto base include la Torre Nanopollinatrice e una singola Stazione di Flusso Nutrizionale. Dobbiamo costruire in totale otto stazioni di processo per completare questa megastruttura.
DIALOG/story/endgame/ashley_hydroponic_start_01;Eccellente. Al suo core, questa struttura garantisce la sicurezza alimentare a lungo termine. Produce cibo vegetale ad alta efficienza per gli abitanti delle Arcologie usando un sistema idroponico a ciclo chiuso. La seconda funzione del laboratorio è l’analisi botanica. Accelera la crescita della vegetazione nella sua area operativa tramite nanopollinatori e studia continuamente la flora galateana locale per identificare specie con proprietà ideali per la produzione alimentare: crescita rapida, alta densità nutrizionale e resilienza climatica. I campioni migliori sono selezionati per la coltivazione e l’uso futuro.
DIALOG/story/endgame/mech_hydroponic_start_02;Sei sicura che questo livello di stimolazione artificiale non interferirà eccessivamente con l’ecosistema locale?
DIALOG/story/endgame/ashley_hydroponic_start_02;È una preoccupazione legittima, Mr. Riggs. Ma tutto ciò che fa il laboratorio è controllato e misurato. I nanopollinatori non sostituiscono i processi naturali: li potenziano. Stiamo solo accelerando i cicli di crescita e aiutando le specie native a raggiungere più rapidamente il loro potenziale.
DIALOG/story/endgame/mech_hydroponic_start_03;Stai applicando di fatto una pressione di selezione artificiale accelerata. Potrebbe avere implicazioni a lungo termine sulla biodiversità.
DIALOG/story/endgame/ashley_hydroponic_start_03;E noi stiamo studiando ogni variabile lungo il percorso. Il laboratorio analizza continuamente la flora locale, isola le specie più nutrienti e adattabili e le integra in sistemi alimentari sostenibili. È evoluzione — solo con guida.
DIALOG/story/endgame/mech_hydroponic_start_04;Quindi questa struttura funge sia da hub di produzione alimentare sia da centro di ricerca botanica?
DIALOG/story/endgame/ashley_hydroponic_start_04;Esatto. Nutre le persone che vivono nelle Arcologie e ci dà resilienza a lungo termine. Più comprendiamo la biologia di questo pianeta, meglio possiamo conviverci.
DIALOG/story/endgame/mech_hydroponic_complete_01;Costruzione del Laboratorio di Sostenibilità Idroponica completata. Tutti i sistemi primari sono stabili e pronti all’attivazione.
DIALOG/story/endgame/ashley_hydroponic_complete_01;Ottimo lavoro. Questa struttura richiederà quantità consistenti di Acqua filtrata e Biomassa per mantenere la produzione alimentare continua, ma mentre è operativa accelererà significativamente la crescita delle piante in tutta la regione. Dovrebbe darci un grande vantaggio nella coltivazione sostenibile delle risorse.
DIALOG/story/endgame/mech_hydroponic_complete_02;Affermativo. Tuttavia, ricorda che se intendiamo rifornire di cibo un’intera Arcologia e i suoi primi abitanti civili, dovremo completare la costruzione di tutti i componenti del Laboratorio Idroponico. 
DIALOG/story/endgame/ashley_hydroponic_complete_02;Stazioni di Flusso Nutrizionale aggiuntive aumenteranno anche l’efficienza della Torre Nanopollinatrice e accelereranno ulteriormente la crescita delle piante. 
DIALOG/story/endgame/mech_hydroponic_upgrade_01_start_01;Inizio installazione della seconda Stazione di Flusso Nutrizionale per il Laboratorio di Sostenibilità Idroponica. Ashley, nota che gran parte della struttura sarà sotterranea: condotti nutrizionali, regolatori termici e pompe di circolazione.
DIALOG/story/endgame/ashley_hydroponic_upgrade_01_start_01;Mantenere l’infrastruttura interrata riduce l’impronta della Megastruttura in superficie. Una volta online questa unità, dovremmo vedere un aumento dell’efficienza della Torre Nanopollinatrice e una crescita più rapida della vegetazione locale.
DIALOG/story/endgame/mech_hydroponic_upgrade_01_complete_01;La seconda Stazione di Flusso Nutrizionale per il Laboratorio di Sostenibilità Idroponica è ora operativa. I sistemi di flusso risorse e di accelerazione delle piante rispondono normalmente.
DIALOG/story/endgame/ashley_hydroponic_upgrade_01_complete_01;Bene. Questo aumenterà ulteriormente l’efficienza di tutte le Stazioni di Raccolta presenti in questa località.
DIALOG/story/endgame/mech_hydroponic_upgrade_02_start_01;Dispiegamento di due Stazioni di Flusso Nutrizionale aggiuntive per il Laboratorio di Sostenibilità Idroponica.
DIALOG/story/endgame/ashley_hydroponic_upgrade_02_start_01;La flora galateana è unica perché può estrarre direttamente dal suolo la maggior parte delle risorse di cui abbiamo bisogno. Possiamo imparare a coltivare la maggior parte delle specie locali raccogliendone campioni con il Bioscanner o tramite raccolta.
DIALOG/story/endgame/mech_hydroponic_upgrade_02_start_02;Stai cercando di insegnarmi questa saggezza sconosciuta o stai parlando da sola, Ashley?
DIALOG/story/endgame/ashley_hydroponic_upgrade_02_start_02;Be’, sono contenta che tu sia così istruito.
DIALOG/story/endgame/mech_hydroponic_upgrade_02_start_03;Chi viaggia molto, molto sa.
DIALOG/story/endgame/mech_hydroponic_upgrade_02_complete_01;Le Stazioni di Flusso Nutrizionale Tre e Quattro per il Laboratorio di Sostenibilità Idroponica sono pienamente integrate.
DIALOG/story/endgame/ashley_hydroponic_upgrade_02_complete_01;Eccellente, questo accelererà ulteriormente la crescita delle piante.
DIALOG/story/endgame/mech_hydroponic_upgrade_03_start_01;Avvio installazione delle Stazioni di Flusso Nutrizionale Cinque e Sei. I sistemi di condutture più profonde vengono estesi per collegarle al collettore centrale sotto l’impianto.
DIALOG/story/endgame/ashley_hydroponic_upgrade_03_start_01;Bene. Ci serve solo un altro upgrade per completare questa Megastruttura.
DIALOG/story/endgame/mech_hydroponic_upgrade_03_complete_01;Le Stazioni Cinque e Sei per il Laboratorio di Sostenibilità Idroponica sono operative.
DIALOG/story/endgame/ashley_hydroponic_upgrade_03_complete_01;Ricevuto, Mr. Riggs. L’efficienza della struttura è ora al 75%. Ci serve solo un altro upgrade per supportare completamente un’Arcologia.
DIALOG/story/endgame/mech_hydroponic_upgrade_04_start_01;Upgrade finale in corso. Costruzione delle ultime due Stazioni di Flusso Nutrizionale per il Laboratorio di Sostenibilità Idroponica.
DIALOG/story/endgame/ashley_hydroponic_upgrade_04_start_01;Ben fatto, Mr. Riggs! Questo è l’ultimo upgrade per questa Megastruttura.
DIALOG/story/endgame/mech_hydroponic_upgrade_04_complete_01;Le Stazioni di Flusso Nutrizionale Sette e Otto per il Laboratorio di Sostenibilità Idroponica sono pienamente operative. Capacità di flusso completa raggiunta.
DIALOG/story/endgame/ashley_hydroponic_upgrade_04_complete_01;Fantastico! Questa Megastruttura è finalmente completa. Un altro segno sulla lista, Mr. Riggs. Questa struttura sarà sufficiente a supportare un’intera Arcologia.
DIALOG/story/endgame/mech_arcology_prep_01;Rapporto di stato: tutte le Megastrutture critiche sono pronte all’operazione. Laboratorio Cortex Quantico, Lente Ipergravitazionale, Centro di Controllo dello Sciame Nanobot e Laboratorio di Sostenibilità Idroponica sono stati completamente integrati con tutti i componenti necessari. Abbiamo raggiunto la soglia necessaria per avviare la costruzione dell’Officina di Arcologia.
DIALOG/story/endgame/ashley_arcology_prep_01;Questo edificio è diverso dalle altre Megastrutture. Richiede ancora più risorse delle precedenti, ma grazie ai progressi già compiuti possiamo costruirlo in un unico passaggio. Servirà come piattaforma di lavoro per la costruzione della prima Arcologia. Saremo pronti a iniziare quel progetto non appena la base sarà completa.
DIALOG/story/endgame/mech_arcology_start_01;Avvio il processo di costruzione dell’Officina di Arcologia. Questa struttura fungerà da sito principale di assemblaggio per sistemi habitat su larga scala, orbitali e di superficie.
DIALOG/story/endgame/ashley_arcology_start_01;Ci siamo finalmente, Mr. Riggs. Questo è il cuore di tutto ciò per cui abbiamo lavorato. Con l’Officina di Arcologia operativa, possiamo finalmente iniziare a costruire la prima Arcologia direttamente in orbita del pianeta.
DIALOG/story/endgame/mech_arcology_start_02;Questa Megastruttura è composta da più officine di nano‑fabbricazione specializzate e da un ascensore orbitale che trasporterà componenti prefabbricati e sciami di nanobot all’altitudine operativa ottimale. Tuttavia, il pozzo dell’ascensore non fornisce sufficiente resistenza strutturale per mantenere la piattaforma di assemblaggio all’altezza richiesta.
DIALOG/story/endgame/ashley_arcology_start_02;Ecco perché abbiamo costruito la Lente Ipergravitazionale. È abbastanza potente da mantenere l’intera struttura in orbita. Dobbiamo solo assicurarci che resti operativa per l’intera durata dell’assemblaggio. Altrimenti, la costruzione si fermerà.
DIALOG/story/endgame/mech_arcology_start_03;Questo tipo di lavoro in microgravità è di solito svolto in stazioni orbitali specializzate che dispongono di tutta l’infrastruttura necessaria in loco. Nel nostro caso useremo grandi sciami di nanobot a controllo remoto. Opereranno a grande distanza dalla nostra base. Il Centro di Controllo dello Sciame Nanobot dovrà rimanere online in ogni momento, altrimenti il processo si interromperà.
DIALOG/story/endgame/ashley_arcology_start_03;Il Laboratorio di Sostenibilità Idroponica non è un partecipante ovvio in questo processo, ma dovremo assicurarci che funzioni anch’esso. Il progetto Arcologia è per lo più autosostenibile per progettazione. Dobbiamo preparare vasti giardini idroponici a bordo della stazione per garantire il sostentamento della sua futura popolazione. 
DIALOG/story/endgame/mech_arcology_start_04;Tutte queste cose si potrebbero ottenere in modi molto più semplici, Ashley. Spero che la tua fiducia nelle persone che arriveranno qui non sia mal riposta.
DIALOG/story/endgame/ashley_arcology_start_04;Non è una questione di speranza, Mr. Riggs. Sono sia scienziata che soldato, e so che le probabilità sulle due facce della moneta non sono pari. Sto solo cercando di pareggiarle.
DIALOG/story/endgame/mech_arcology_end_01;Costruzione dell’Officina di Arcologia completata. Ashley, assicurati che tutte le restanti Megastrutture siano pienamente operative, poi avvicinati all’Officina per avviare il processo di assemblaggio. 
DIALOG/story/endgame/ashley_arcology_end_01;Ricevuto, Mr. Riggs
DIALOG/story/endgame/mech_arcology_assembly_start_01;Tutte le Megastrutture riportano stato operativo completo. Unità di nano‑fabbricazione online, stato del sollevatore orbitale — ok. L’Officina di Arcologia si sta accendendo. Avvio del processo di assemblaggio.
DIALOG/story/endgame/ashley_arcology_assembly_start_01;Uno spettacolo davvero magnifico. Questo è il varco verso la coabitazione guidata dalla tecnologia su Galatea 37. 
DIALOG/story/endgame/mech_arcology_assembly_paused_01;Il processo di assemblaggio dell’Arcologia è stato sospeso. Verifica che tutte le Megastrutture richieste siano pronte e in grado di funzionare simultaneamente. L’assemblaggio riprenderà automaticamente quando torneranno online.
DIALOG/story/endgame/mech_arcology_assembly_paused_02;Processo di assemblaggio dell’Arcologia interrotto. Controlla che tutte le Megastrutture richieste siano operative.
DIALOG/story/endgame/mech_arcology_assembly_end_01;Processo di assemblaggio dell’Arcologia completato. Tutti i sistemi sono stabili. Integrità strutturale verificata. Ancore gravitazionali abilitate. La prima Arcologia su Galatea 37 è parcheggiata in orbita geostazionaria.
DIALOG/story/endgame/ashley_arcology_assembly_end_01;Ce l’abbiamo fatta, Mr. Riggs. Non è solo una struttura: è la prova che la colonizzazione può essere fatta in un modo migliore. Abbiamo costruito una città che respirerà con il pianeta.
DIALOG/story/endgame/mech_arcology_assembly_end_02;I sistemi habitat sono online. Supporto vitale, agricoltura e controlli ambientali funzionano entro i parametri previsti. L’Arcologia è pronta a ricevere i suoi primi abitanti civili.
DIALOG/story/endgame/ashley_arcology_assembly_end_02;Siamo finalmente liberi, Mr. Riggs. Sento che possiamo tornare sulla Terra a testa alta.
DIALOG/story/endgame/mech_mega_rift_objective_01;Ashley, abbiamo finito di costruire tutte le Megastrutture e il processo di assemblaggio dell’arcologia è stato avviato. Abbiamo spuntato tutto dall’elenco. Hai altri obiettivi per noi o vuoi aspettare che il Comando dei Riftbreaker invii un altro Riftbreaker con un nuovo Core di Sincronizzazione Quantistica?
DIALOG/story/endgame/ashley_mega_rift_objective_01;No. Non li aspetteremo. Torniamo sulla Terra.
DIALOG/story/endgame/mech_mega_rift_objective_02;Cosa? Come pensi di farlo? Il Nucleo di Entanglement Quantistico della Stazione di Fenditura originale è stato distrutto quando il portale è collassato. Non abbiamo più una connessione funzionante con la Terra.
DIALOG/story/endgame/ashley_mega_rift_objective_02;Costruiamo una nuova Stazione di Fenditura. Una in scala completa — lo stesso tipo che ci ha spediti qui. È enorme e richiede quantità colossali di risorse, ma può inviarci verso una singola destinazione. Nessun Nucleo di Entanglement Quantistico necessario.
DIALOG/story/endgame/mech_mega_rift_objective_03;È assurdo, Ashley. Non è mai stato fatto prima. Non da un singolo Riftbreaker.
DIALOG/story/endgame/ashley_mega_rift_objective_03;Tutto ciò che abbiamo fatto su questo pianeta non è mai stato fatto prima. È letteralmente la descrizione del mio lavoro, Mr. Riggs.
DIALOG/story/endgame/mech_mega_rift_objective_04;Be’, su questo hai ragione, Ashley. Non posso negarlo.
DIALOG/story/endgame/ashley_mega_rift_objective_04;Ok, allora. Devi avere i progetti per una Stazione Primaria di Fenditura nel tuo repository di modelli di Nano‑Fabbricazione Comune. Abbiamo aumentato talmente tanto le nostre capacità di assemblaggio che dovremmo poterla costruire senza suddividere il processo in componenti separati.
DIALOG/story/endgame/mech_mega_rift_objective_05;Affermativo, Ashley. Possiamo iniziare a lavorare a una Stazione Primaria di Fenditura, ma non sono certo che riusciremo a completarla. I requisiti di costruzione sono un conto, le risorse necessarie per alimentarla sono un altro.
DIALOG/story/endgame/ashley_mega_rift_objective_05;Andiamo, Riggs. Non abbiamo niente di meglio da fare comunque. Pensiamo a dove piazzare questo mostro.
DIALOG/story/endgame/mech_mega_rift_start_01;Avvio costruzione della Stazione Primaria di Fenditura. Questa struttura supera la scala di tutte le Megastrutture costruite finora. È un magnifico monumento alla tua ostinazione e alla tua volontà di smentirmi. Anche se non riusciremo mai ad alimentarla a causa dei suoi requisiti di risorse folli.
DIALOG/story/endgame/ashley_mega_rift_start_01;Sei qui da troppo tempo, Mr. Riggs. Il tuo senso dell’umorismo sta peggiorando.
DIALOG/story/endgame/mech_mega_rift_start_02;Sto iniziando a sembrare troppo umano? Sei stata tu a farmi restare, ricordi?
DIALOG/story/endgame/ashley_mega_rift_start_02;Sì, e sono anche quella che sta cercando di riportarci a casa. Quindi perché non la smetti di lamentarti e mi dici di cosa abbiamo bisogno per mettere in moto tutta questa macchina appena sarà finita?
DIALOG/story/endgame/mech_mega_rift_start_03;Questa struttura è paradossalmente più semplice della Stazione di Fenditura che abbiamo costruito in precedenza. È composta da tre componenti principali: l’Arco del Portale di Fenditura, l’Acceleratore a Bobine Quantiche e la Raffineria del Condensato di Antimateria.
DIALOG/story/endgame/ashley_mega_rift_start_03;In che senso è semplice? 
DIALOG/story/endgame/mech_mega_rift_start_04;L’Acceleratore a Bobine Quantiche richiede molta energia, e la Raffineria del Condensato di Antimateria richiede grandi quantità di liquidi difficili da reperire. Potremo aprire la Fenditura non appena avremo raccolto tutto questo.
DIALOG/story/endgame/ashley_mega_rift_start_04;E per la sequenza di attivazione?
DIALOG/story/endgame/mech_mega_rift_start_05;Questa macchina è così potente che può essere attivata molto più velocemente della sua controparte più piccola. Una volta attivata, crea un Nucleo di Sincronizzazione Quantistica intrecciato con la stazione ed entra in stand‑by dopo il primo salto di fenditura. Un’altra Stazione di Fenditura più piccola deve essere costruita dall’altra parte per creare una connessione stabile a due vie tra i portali.
DIALOG/story/endgame/ashley_mega_rift_start_05;Ok, ok. Da lì in poi conosco la procedura. Questo è l’ultimo passo. Facciamolo.
DIALOG/story/endgame/mech_mega_rift_complete_01;Costruzione della Stazione Primaria di Fenditura completata. Integrità strutturale confermata. L’Acceleratore a Bobine Quantiche e la Raffineria del Condensato di Antimateria sono in attesa di input di risorse.
DIALOG/story/endgame/ashley_mega_rift_complete_01;Ricevuto, Mr. Riggs. Dovremo fornirle un’alimentazione energetica stabile e tutte le risorse liquide richieste per la Raffineria del Condensato di Antimateria. La rete di tubazioni attorno a questa cosa sarà un caos.
DIALOG/story/endgame/mech_mega_rift_ready_01;La Stazione di Fenditura Primaria è pronta all’attivazione. Tutte le risorse richieste sono state consegnate. I livelli energetici sono stabili e la diagnostica segnala piena prontezza operativa. Puoi avvicinarti per avviare la procedura di salto nella fenditura.
DIALOG/story/endgame/ashley_mega_rift_ready_01;Non so cosa dire. Ce l’abbiamo fatta, Mr. Riggs. Ora possiamo tornare a casa.
DIALOG/story/endgame/mech_mega_rift_ready_02;È vero, Ashley. Tutto ciò che devi fare ora è attivare il portale.
DIALOG/story/outro_endgame_ashley_01;I preparativi che abbiamo fatto sono stati impegnativi. Ogni Megastruttura, ogni modifica, ogni upgrade ci ha spinti al limite del possibile. Ma ha funzionato.
DIALOG/story/outro_endgame_ashley_02;Quando il portale verso la Terra si è finalmente aperto, sono riuscita a convincere il Comando dei Riftbreaker che non serviva una forza di pacificazione su larga scala.
DIALOG/story/outro_endgame_ashley_03;Invece, hanno mandato ingegneri e ricercatori — non soldati. Costruttori, non conquistatori.
DIALOG/story/outro_endgame_ashley_04;Il Progetto Arcologia ha dato ai primi coloni qualcosa che nessuna missione di colonizzazione aveva mai avuto prima: il tempo.
DIALOG/story/outro_endgame_ashley_05;Tempo per studiare il pianeta, tempo per capirlo, tempo per scegliere dove vivere senza distruggere ciò che già esisteva.
DIALOG/story/outro_endgame_ashley_06;La tecnologia è diventata il ponte tra due mondi — umani e Galatea — che lavorano insieme, non l’uno contro l’altro.
DIALOG/story/outro_endgame_ashley_07;Sono orgogliosa di ciò che abbiamo realizzato qui.
DIALOG/story/outro_endgame_ashley_08;Lo sforzo extra ha dato i suoi frutti e, forse, solo forse, abbiamo dimostrato che esiste un modo migliore per tendere alle stelle.
DIALOG/story/outro_endgame_ashley_09;È il momento di chiudere questo capitolo e andare avanti.
DIALOG/story/outro_endgame_ashley_10;Galatea 37 ha un futuro adesso — e anch’io.
DIALOG/story/outro_endgame_mech_01;L’avventura non aspetta mai, Ashley. E nemmeno noi dovremmo.
DIALOG/story/outro_endgame_ashley_11;Vediamo cosa ci aspetta oltre il prossimo portale.
gui/hud/objective_name/story/global.endgame.build_quantum_cortex_laboratory;Costruisci il Laboratorio Cortex Quantico.
gui/hud/objective_name/story/global.endgame;Coabitazione guidata dalla tecnologia:
gui/hud/objective_name/story/global.endgame.build_gravitational_hyper_lens;Costruisci la Lente Ipergravitazionale liv. 5.
gui/hud/objective_name/story/global.endgame.build_nanobot_center;Costruisci il Centro Nanobot liv. 5.
gui/hud/objective_name/story/global.endgame.build_hydroponic_lab;Costruisci il Laboratorio Idroponico liv. 5.
gui/hud/objective_name/story/global.endgame.arcology_workshop_build;Costruisci l’Officina di Arcologia.
gui/hud/objective_name/story/global.arcology_megastructures;Attiva le Megastrutture:
gui/hud/objective_name/story/global.arcology_megastructures.hydroponic;Laboratorio di Sostenibilità Idroponica.
gui/hud/objective_name/story/global.arcology_megastructures.nanobot;Centro di Controllo dello Sciame Nanobot.
gui/hud/objective_name/story/global.arcology_megastructures.ghl;Lente Ipergravitazionale.
gui/hud/objective_name/story/global.arcology_megastructures.workshop;Officina di Arcologia.
gui/hud/objective_name/story/global.arcology_megastructures.start;Attiva l’edificio Officina di Arcologia.
gui/hud/objective_name/story/global.arcology_megastructures.arcology_progress;Assemblaggio dell’Arcologia in corso:
gui/hud/objective_name/story/global.return_to_earth;Ritorno sulla Terra:
gui/hud/objective_name/story/global.return_to_earth.mega_rift_station_build;Costruisci la Stazione Primaria di Fenditura.
gui/hud/objective_name/story/global.return_to_earth.mega_rift_station_prepare;Prepara la Stazione Primaria di Fenditura all’attivazione.
gui/hud/objective_name/story/global.return_to_earth.mega_rift_station_activate;Attiva la Stazione Primaria di Fenditura.
DIALOG/story/endgame/mech_mega_rift_charging_01;Główna Stacja Rift została aktywowana. Portal się otwiera, nie powinno to potrwać zbyt długo.
DIALOG/story/endgame/ashley_mega_rift_charging_01;No chyba jednak chwilę potrwa. Nie otwiera się on zbyt szybko. Nie wiem, czemu myślałeś, że to będzie aż tak proste.
DIALOG/story/endgame/mech_mega_rift_charging_02;Mogłem nieco niedoszacować. Mamy jednak większy problem, Ashley. Wykryłem wzmożony ruch w naszym kierunku.
DIALOG/story/endgame/ashley_mega_rift_charging_02;Ech, no OK. Potraktujmy to jako ostateczny sprawdzian naszych struktur obronnych.
DIALOG/story/endgame/mech_mega_rift_charged_01;Główna Stacja Rift zakończyła proces ładowania. Rdzeń Synchronizacji Kwantowej jest gotowy.
DIALOG/story/endgame/ashley_mega_rift_charged_01;Przyjęłam, panie Riggs. Mamy to. Czas wracać do domu.
DIALOG/encounters/mech_anomaly_detected_01_a;Ashley, moje czujniki wykrywają anomalie w tym miejscu.
DIALOG/encounters/mech_anomaly_detected_01_b;Ashley, wykrywam pewne nietypowe wzorce danych w tym sektorze.
DIALOG/encounters/mech_anomaly_detected_01_c;Wykryto nietypowe sygnały. Coś tutaj nie pasuje.
