;ITALIAN
gui/menu/research/description/tower_power_rod_lvl2;Le Power Rods schierate dalla versione potenziata generano archi elettrici ad alto voltaggio ancora più potenti, infliggendo danni devastanti alle unità vicine catturate nel campo elettrico. L'intensità aumentata degli archi elettrici assicura una maggiore letalità ed efficacia contro le forze nemiche.
gui/menu/research/description/tower_power_rod_lvl3;Le Power Rods schierate dalla versione potenziata generano archi elettrici ad alto voltaggio ancora più potenti, infliggendo danni devastanti alle unità vicine catturate nel campo elettrico. L'intensità aumentata degli archi elettrici assicura una maggiore letalità ed efficacia contro le forze nemiche.
gui/menu/research/description/tower_shotgun_lvl1;La torre è dotata di un meccanismo avanzato di fuoco rapido, in grado di sparare raffiche di proiettili ad alta velocità. Ciò consente alla torre di mantenere un fuoco di sbarramento continuo, neutralizzando efficacemente grandi gruppi di piccoli aggressori.
gui/menu/research/description/tower_shotgun_lvl2;La Shotgun Tower potenziata offre una soluzione robusta e altamente efficace per difendersi da grandi gruppi di piccoli aggressori. La sua potenza di fuoco migliorata, la precisione nel puntamento e la maggiore durata la rendono una risorsa fondamentale per mantenere la difesa ravvicinata e proteggere le posizioni strategiche sul campo di battaglia.
gui/menu/research/description/tower_shotgun_lvl3;La Shotgun Tower potenziata offre una soluzione robusta e altamente efficace per difendersi da grandi gruppi di piccoli aggressori. La sua potenza di fuoco migliorata, la precisione nel puntamento e la maggiore durata la rendono una risorsa fondamentale per mantenere la difesa ravvicinata e proteggere le posizioni strategiche sul campo di battaglia.
gui/menu/research/description/tower_water_basic_lvl1;Spara rapidamente porzioni di sostanza simile al napalm che si attaccano ai bersagli e li incendiano. La costruzione unica della Floating Immolator Tower richiede che venga costruita su una superficie liquida. Questo inconveniente è mitigato dall'indipendenza energetica della torre grazie ai generatori idroelettrici integrati.
gui/menu/research/description/tower_water_basic_lvl2;Un upgrade avanzato dell'originale Floating Immolator Tower. Offre una precisione migliorata, danni inflitti aumentati e una stabilità migliorata sulle superfici liquide.
gui/menu/research/description/tower_water_basic_lvl3;Un upgrade avanzato dell'originale Floating Immolator Tower. Offre una precisione migliorata, danni inflitti aumentati e una stabilità migliorata sulle superfici liquide.
gui/menu/research/description/tower_water_big_lvl1;La Floating Piercer Tower è un'installazione difensiva che lancia proiettili a lungo raggio progettati per perforare più bersagli ed esplodere all'impatto finale, causando un'enorme esplosione. Ogni proiettile infligge danni criogenici, rallentando significativamente tutti i bersagli. Questa torre eccelle nello sconvolgere le formazioni nemiche e rallentare le avanzate, ma deve essere costruita su una superficie liquida.
gui/menu/research/description/tower_water_big_lvl2;Questo aggiornamento integra tecnologie criogeniche e balistiche di ultima generazione, offrendo prestazioni e affidabilità senza pari in ambienti acquatici. Con sistemi avanzati di puntamento e stabilizzazione, assicura una precisione e un'efficacia superiori in combattimento.
gui/menu/research/description/tower_water_big_lvl3;Questo aggiornamento integra tecnologie criogeniche e balistiche di ultima generazione, offrendo prestazioni e affidabilità senza pari in ambienti acquatici. Con sistemi avanzati di puntamento e stabilizzazione, assicura una precisione e un'efficacia superiori in combattimento.
gui/menu/research/description/wall_vine_lvl1;I Vine Walls sfruttano l'ingegneria biomimetica avanzata e le tecnologie vegetali rigenerative per offrire fortificazioni dinamiche e resilienti. Queste strutture viventi si integrano perfettamente nelle strategie di difesa, offrendo sia protezione che flessibilità tattica.
gui/menu/research/description/wall_vine_lvl2;La composizione strutturale di questo muro è stata potenziata con fibre sintetiche rinforzate e biomateriali avanzati, che forniscono maggiore durevolezza e resistenza agli attacchi pesanti. Ciò rende i muri più robusti e durevoli sotto il fuoco nemico sostenuto.
gui/menu/research/description/wall_vine_lvl3;La composizione strutturale di questo muro è stata potenziata con fibre sintetiche rinforzate e biomateriali avanzati, che forniscono maggiore durevolezza e resistenza agli attacchi pesanti. Ciò rende i muri più robusti e durevoli sotto il fuoco nemico sostenuto.
gui/menu/research/name/bio_condenser_lvl1;Condensatore di Biomassa – liv. 1
gui/menu/research/name/bio_condenser_lvl2;Condensatore di Biomassa – liv. 2
gui/menu/research/name/bio_condenser_lvl3;Condensatore di Biomassa – liv. 3
gui/menu/research/name/consumable_drone_swarm_advanced;Sciame di droni – Avanzato
gui/menu/research/name/consumable_drone_swarm_extreme;Sciame di droni – Estremo
gui/menu/research/name/consumable_drone_swarm_standard;Sciame di droni – Standard
gui/menu/research/name/consumable_drone_swarm_superior;Sciame di droni – Superiore
gui/menu/research/name/consumable_gas_grenades_advanced;Granate a gas – Avanzate
gui/menu/research/name/consumable_gas_grenades_extreme;Granate a gas – Estreme
gui/menu/research/name/consumable_gas_grenades_standard;Granate a gas – Standard
gui/menu/research/name/consumable_gas_grenades_superior;Granate a gas – Superiori
gui/menu/research/name/consumable_mortar_sentry_advanced;Mortaio Sentry – Avanzato
gui/menu/research/name/consumable_mortar_sentry_extreme;Mortaio Sentry – Estremo
gui/menu/research/name/consumable_mortar_sentry_standard;Mortaio Sentry – Standard
gui/menu/research/name/consumable_mortar_sentry_superior;Mortaio Sentry – Superiore
gui/menu/research/name/gas_extractor_lvl1;Estrattore di Gas - liv. 1
gui/menu/research/name/gas_extractor_lvl2;Estrattore di Gas - liv. 2
gui/menu/research/name/gas_extractor_lvl3;Estrattore di Gas - liv. 3
gui/menu/research/name/mech_weapons_charged_bomb_advanced;Bomba carica – Avanzata
gui/menu/research/name/mech_weapons_charged_bomb_extreme;Bomba carica – Estremo
gui/menu/research/name/mech_weapons_charged_bomb_standard;Bomba carica – Standard
gui/menu/research/name/mech_weapons_charged_bomb_superior;Bomba carica – Superiore
gui/menu/research/name/mech_weapons_flame_blade_advanced;Lama di fuoco – Avanzata
gui/menu/research/name/mech_weapons_flame_blade_extreme;Lama di fiamma – Estremo
gui/menu/research/name/mech_weapons_flame_blade_standard;Lama di fiamma – Standard
gui/menu/research/name/mech_weapons_flame_blade_superior;Lama di fiamma – Superiore
gui/menu/research/name/mech_weapons_insect_gun_advanced;Lanciatore di vespe – Avanzato
gui/menu/research/name/mech_weapons_insect_gun_extreme;Lanciatore di vespe – Estremo
gui/menu/research/name/mech_weapons_insect_gun_standard;Lanciatore di vespe – Standard
gui/menu/research/name/mech_weapons_insect_gun_superior;Lanciatore di vespe – Superiore
gui/menu/research/name/mech_weapons_mortar_advanced;Mortaio – Avanzato
gui/menu/research/name/mech_weapons_mortar_extreme;Malta – Estremo
gui/menu/research/name/mech_weapons_mortar_standard;Malta – Standard
gui/menu/research/name/mech_weapons_mortar_superior;Mortaio – Superiore
gui/menu/research/name/mech_weapons_root_gun_advanced;Root Gun – Avanzato
gui/menu/research/name/mech_weapons_root_gun_extreme;Pistola per radici – Estremo
gui/menu/research/name/mech_weapons_root_gun_standard;Pistola per radici – Standard
gui/menu/research/name/mech_weapons_root_gun_superior;Root Gun – Superiore
gui/menu/research/name/mech_weapons_semi_auto_advanced;Fucile a ripetizione – Avanzato
gui/menu/research/name/mech_weapons_semi_auto_extreme;Fucile a ripetizione – Estremo
gui/menu/research/name/mech_weapons_semi_auto_standard;Fucile a ripetizione – Standard
gui/menu/research/name/mech_weapons_semi_auto_superior;Fucile a ripetizione – Superiore
gui/menu/research/name/mech_weapons_trident_advanced;Trident – ​​Avanzato
gui/menu/research/name/mech_weapons_trident_extreme;Tridente – Estremo
gui/menu/research/name/mech_weapons_trident_standard;Tridente – Standard
gui/menu/research/name/mech_weapons_trident_superior;Tridente – Superiore
gui/menu/research/name/skill_tornado_advanced;Tornado – Avanzato
gui/menu/research/name/skill_tornado_extreme;Tornado – Estremo
gui/menu/research/name/skill_tornado_standard;Tornado – Standard
gui/menu/research/name/skill_tornado_superior;Tornado – Superiore
gui/menu/research/name/tower_hcm_lvl1;Torre HCM – liv. 1
gui/menu/research/name/tower_hcm_lvl2;Torre HCM – liv. 2
gui/menu/research/name/tower_hcm_lvl3;Torre HCM – liv. 3
gui/menu/research/name/tower_power_rod_lvl1;Torre Asta Energetica – liv. 1
gui/menu/research/name/tower_power_rod_lvl2;Torre Asta Energetica – liv. 2
gui/menu/research/name/tower_power_rod_lvl3;Torre Asta Energetica – liv. 3
gui/menu/research/name/tower_shotgun_lvl1;Torre a Doppietta – liv. 1
gui/menu/research/name/tower_shotgun_lvl2;Torre a Doppietta – liv. 2
gui/menu/research/name/tower_shotgun_lvl3;Torre a Doppietta – liv. 3
gui/menu/research/name/tower_water_basic_lvl1;Torrette Fluttuanti Inceneritrici - liv. 1
gui/menu/research/name/tower_water_basic_lvl2;Torrette Fluttuanti Inceneritrici - liv. 2
gui/menu/research/name/tower_water_basic_lvl3;Torrette Fluttuanti Inceneritrici - liv. 3
gui/menu/research/name/tower_water_big_lvl1;Torrette Fluttuanti Perforanti - liv. 1
gui/menu/research/name/tower_water_big_lvl2;Torrette Fluttuanti Perforanti - liv. 2
gui/menu/research/name/tower_water_big_lvl3;Torrette Fluttuanti Perforanti - liv. 3
gui/menu/research/name/wall_vine_lvl1;Muri di Vite – liv. 1
gui/menu/research/name/wall_vine_lvl2;Muri di Vite – liv. 2
gui/menu/research/name/wall_vine_lvl3;Muri di Vite – liv. 3
gui/menu/sandbox_control_panel/unit_volume;Raggio
gui/menu/sandbox_control_panel/wave_ground;Punto
gui/menu/sandbox_control_panel/wave_ground_east;Punto: Est
gui/menu/sandbox_control_panel/wave_ground_north;Punto: Nord
gui/menu/sandbox_control_panel/wave_ground_south;Punto: Sud
gui/menu/sandbox_control_panel/wave_ground_west;Punto: Ovest
gui/menu/sandbox_control_panel/wave_spline;Scanalatura
gui/menu/settings/change_slot_on_empty_ammo;Cambio automatico delle armi
gui/menu/settings/mouse_cursor_software_mode;Modalità software cursore
gui/menu/settings/mouse_cursor_software_mode_description;Questa opzione ti consente di scegliere tra il cursore software del nostro motore o il cursore hardware integrato nel tuo sistema operativo. Se noti un ritardo quando muovi il cursore sullo schermo, disattiva questa opzione.
gui/menu/settings/water_simulation;Simulazione dell'acqua
gui/menu/settings/water_simulation_description;Questa opzione consente la simulazione del comportamento dei liquidi durante le interazioni con altri corpi. Vedrai onde, increspature, schiuma e dispersione della luce sotto la superficie. Questa opzione influisce sugli FPS complessivi, quindi potresti prendere in considerazione di disabilitarla se riscontri cali di prestazioni della GPU.
gui/popup/are_you_sure;Sei sicuro?
monster_description/artigian;Artigian, una specie di colossali piante carnivore, si distingue per l'imponente sacco che pende sotto i suoi 'fori per la bocca'. Formano palle esplosive di acidi, che poi scagliano contro i loro bersagli designati. All'impatto, questi proiettili volatili detonano, rilasciando sostanze corrosive che dissolvono la materia circostante. Successivamente, gli Artigian utilizzano le loro estese reti di radici, assorbendo tutti i nutrienti liberati dalla materia disciolta.
monster_description/canceroth;Il Canceroth, un'entità enigmatica e formidabile endemica del bioma Swamp, rappresenta una sfida multiforme per gli esploratori. Presenta un nodo centrale circondato da cellule più piccole, che collettivamente creano scompiglio mentre attraversano il terreno senza badare agli ostacoli. Mentre prendere di mira le cellule più piccole può temporaneamente ridurre la loro minaccia, il nodo centrale deve essere infine distrutto, un compito complicato dalla funzione protettiva delle cellule circostanti.
monster_description/darnot;Il Darnot è una creatura volante neutra, che ricorda una falena aliena di grandi dimensioni e decisamente aliena. Le sue ali iridescenti si estendono per diversi metri, scintillando con un bagliore ultraterreno che cambia colore in risposta al suo ambiente. A differenza delle falene terrestri, l'esoscheletro del Darnot è adornato con motivi bioluminescenti e sporgenze spinose e intricate, che gli conferiscono un aspetto inquietante ma accattivante. Con occhi sfaccettati e antenne allungate, naviga nell'aria con grazia e precisione.
monster_description/fungor;Il Fungor è una creatura colossale e imponente che fonde le caratteristiche di un animale con quelle di un fungo. Si erge eretto su sei enormi tentacoli nodosi, che spingono i suoi movimenti goffi ma deliberati. Il suo corpo è avvolto da una spessa e spugnosa crescita fungina, adornata da spore fungine. Un ulteriore tentacolo più agile si estende dalla sua schiena, oscillando con mortale precisione per attaccare la sua preda o difendersi dalle minacce.
monster_description/invigor;L'Invigor è una pianta predatrice con uno stelo lungo e sottile, privo di foglie o rami. In cima a questo stelo c'è un grande e pesante bulbo della testa, sormontato da una singola antenna. In genere, l'antenna è l'unica parte visibile dell'Invigor, ed è l'unica parte che vuole che tu veda. Quando questa antenna rileva il movimento di una preda adatta, l'intera pianta erutta da sottoterra. L'Invigor usa quindi il bulbo della testa come una clava, facendo a pezzi la sua preda.
monster_description/mudroner;Il Mudroner, una specie nativa della palude di Galatean, spesso vaga per acque poco profonde in piccoli branchi. Più alti e snelli degli Hedroner, i Mudroner hanno fauci allungate ricoperte di denti affilati e occhi distintivi che emettono un bagliore viola per attrarre le prede e avvertire le minacce. Quando sono minacciati, possono sprofondare nel terreno e riapparire altrove, continuando il loro assalto da una distanza di sicurezza.
monster_description/plutrodon;Il Plutrodon è un predatore di medie dimensioni, a tre zampe, originario della Palude Fungale, noto per la sua velocità e agilità, che usa artigli affilati per scavare nel terreno e arrampicarsi su superfici come alberi e rocce. Preferendo attaccare da lontano, si radica e evoca pilastri di punte che danneggiano tutto ciò che incontra sul suo cammino, rendendolo particolarmente pericoloso contro le strutture fortificate.
monster_description/poogret;Il Poogret, con la sua goffaggine accattivante e le quattro zampe sottili, offre uno spettacolo comico, ulteriormente accentuato dai suoi occhi che sporgono oltre la testa, conferendogli un'espressione perennemente buffa. Questa creatura si sostiene consumando piante di Garlimonium, elaborandole all'interno del suo sistema digerente per produrre grumi fecali ricchi di nutrienti e ricchi di risorse preziose.
monster_description/stickrid;Lo Stickrid è una creatura insettoide minuscola con un corpo allungato, che utilizza sei zampe per librarsi sopra la superficie dell'acqua. Spesso osservati in sciami considerevoli, gli Stickrid adottano una strategia mordi e fuggi, lanciando proiettili acidi ai loro bersagli da lontano. Nonostante il loro numero elevato, gli Stickrid sono vulnerabili allo schiacciamento sotto i piedi, il che li rende una minaccia gestibile quando affrontati direttamente.
prop_description/cactus_anemone;Il Bulbus Anemone è una specie unica di cactus che assomiglia a un riccio di mare, con bulbi adornati da tentacoli bioluminescenti. Tuttavia, quando si sente minacciato, il Bulbus Anemone ritrae rapidamente i suoi bulbi nel suo corpo e si fonde perfettamente con l'ambiente circostante. Questo comportamento adattivo funge da meccanismo di difesa contro potenziali predatori, consentendo al Bulbus Anemone di eludere il pericolo e prosperare nel suo habitat.
prop_description/mushroom_arachneum;Il Fungus Arachneum è una specie di fungo notevole, caratterizzata dal suo gambo allungato, che è racchiuso in una delicata struttura a ragnatela. In cima a questo gambo si trova un fungo dalla calotta piatta, che ricorda un paralume, che si allarga gradualmente verso la base. Questa morfologia distintiva non solo lo distingue visivamente, ma ha anche scopi funzionali, aiutando a disperdere le spore e catturare i nutrienti dal suo ambiente.
prop_description/mushroom_bocoletus;Il Fungus Bocoletus è una specie unica di fungo nota per il suo aspetto sorprendente. Emerge da un semplice gambo alla base e presenta un cappello concavo che si espande gradualmente verso l'esterno. Tuttavia, la caratteristica più distintiva del Fungus Bocoletus è la crescita dal centro del suo cappello, che ricorda la forma a spirale del guscio di una lumaca. Questa peculiare morfologia lo distingue dagli altri funghi, rendendolo facilmente riconoscibile.
prop_description/mushroom_corallium;Il Fungus Corallium è una specie straordinaria di fungo, che ricorda le delicate formazioni coralline che si trovano nelle profondità dell'oceano. La sua struttura è composta da strutture intricate e ramificate che ricordano i rami del corallo, adornate da piccole punte traslucide. Queste punte sono probabilmente responsabili della dispersione delle spore, assicurando il successo riproduttivo del fungo. L'aspetto generale è etereo e accattivante, rendendo il Fungus Corallium un soggetto affascinante per lo studio e l'osservazione nel suo habitat naturale.
prop_description/mushroom_virsum;Il Fungus Virsum è una vista piuttosto tradizionale per gli standard galatei. Nel corso del suo ciclo vitale, il fungo produce un grande stelo, che cresce in diversi rami. Ogni ramo cresce nel suo cappuccio produttore di spore. Ciò consente al Virsum di moltiplicare le sue capacità riproduttive, dandogli la migliore possibilità di diffondersi ulteriormente.
prop_description/tree_mallow;Il Bratus Vegetus è una specie di albero che non raggiunge proporzioni enormi. Invece di avere un tronco allungato con una corona in cima, questo albero produce foglie solo alla base. Il tronco sviluppa rami in tutte le direzioni per tutta la sua lunghezza. I rami sono adornati con bellissimi fiori espansivi, pensati per attrarre gli impollinatori.
prop_description/tree_tongue;"Il Bratus Ligurio è un tipo di albero estremamente unico. È in grado di crescere sia sulla terraferma che in pozze d'acqua. La sua morfologia è completamente diversa da quella degli altri alberi, in quanto sviluppa una grande chioma simile a un fiore con una foglia molto lunga al centro. Quando una creatura passa vicino a questo albero, muoverà la sua chioma e ""agiterà"" la sua foglia, imitando un predatore che gira la testa verso la preda. È un incredibile meccanismo di difesa, non riscontrato in nessun'altra specie."
resource_name/ammo_dm_acid_spitter;Sputatore acido
resource_name/ammo_dm_bouncing_blades;Lame rimbalzanti
resource_name/ammo_dm_grenade_launcher;Lanciagranate
resource_name/ammo_dm_minigun;Mitragliatrice
resource_name/ammo_dm_railgun;Cannone a rotaia
resource_name/flammable_gas_vent;Fonte di gas infiammabile
resource_name/resin;Resina
resource_name/sample_poo;Campione di escrementi
gui/hud/building_name/resin_tree;Albero di resina fungina
resource_name/resin_compressed;Resina compressa
gui/hud/building_name/repellent_drone_hub;Hub repellente per droni
gui/hud/building_name/great_tree_resin_intake;Grande albero dei funghi
gui/hud/building_name/dead_tree_resin_intake;Resina fungina essiccata dell'albero
gui/menu/inventory/weapon_charge_description/charged_bomb;Attacco caricato: tieni premuto il grilletto e scegli il bersaglio. La bomba verrà armata e consegnata nel punto selezionato.
gui/menu/inventory/weapon_charge_description/mortar;Attacco caricato: consente di sparare una raffica di proiettili contro il bersaglio.
gui/menu/inventory/weapon_charge_description/semi_auto;Attacco caricato: spara diversi proiettili in uno schema a cono.
gui/menu/inventory/consumable_description/drone_swarm_upgraded;Le celle energetiche migliorate installate nei droni di questo pacchetto consentono loro di funzionare più a lungo e di overcloccare notevolmente le loro CPU, aumentandone notevolmente l'efficienza.
gui/menu/inventory/consumable_description/gas_grenade_upgraded;Il gas in questa versione della granata è mantenuto a una pressione molto più alta rispetto all'originale. Si disperde a una velocità molto più elevata e a una concentrazione maggiore, rendendolo ancora più efficace.
gui/menu/inventory/consumable_description/mortar_sentry_upgraded;La gittata, il tempo di funzionamento e la potenza di fuoco migliorati rendono questo modello un potenziamento universale rispetto al modello base Mortar Sentry.
gui/menu/inventory/skill_description/tornado;Questo dispositivo portatile consente all'utente di generare un vortice d'aria localizzato e ad alta velocità che danneggerà tutto ciò che incontrerà sul suo cammino.
gui/menu/inventory/skill_description/tornado_upgraded;Questa versione del dispositivo genera una differenza di pressione atmosferica ancora maggiore, generando un vortice molto più potente.
gui/hud/building_description/repellent_drone_hub;Il Repellent Drone Hub invia droni specializzati che spruzzano nell'area bersaglio una sostanza repellente in base alle esigenze del momento del Riftbreaker.
voice_over/announcement/building_too_close;Costruzione troppo vicina
