;ITALIAN
resource_name/specimen_mushroom_lumio_green;${resource_name/specimen} - ${prop_name/mushroom_lumio_green}
resource_name/specimen_mushroom_pearls_violet;${resource_name/specimen} - ${prop_name/mushroom_pearls_violet}
resource_name/specimen_mushroom_pearls_green;${resource_name/specimen} - ${prop_name/mushroom_pearls_green}
resource_name/specimen_mushroom_pearls_red;${resource_name/specimen} - ${prop_name/mushroom_pearls_red}
resource_name/specimen_mushroom_standard_common;${resource_name/specimen} - ${prop_name/mushroom_standard_common}
resource_name/specimen_mushroom_standard_blue;${resource_name/specimen} - ${prop_name/mushroom_standard_blue}
resource_name/specimen_mushroom_standard_violet;${resource_name/specimen} - ${prop_name/mushroom_standard_violet}
resource_name/specimen_mushroom_standard_red;${resource_name/specimen} - ${prop_name/mushroom_standard_red}
resource_name/specimen_mushroom_standard_fluorescent;${resource_name/specimen} - ${prop_name/mushroom_standard_fluorescent}
resource_name/specimen_mushroom_standard_orange;${resource_name/specimen} - ${prop_name/mushroom_standard_orange}
resource_name/specimen_mushroom_vulgaris_orange;${resource_name/specimen} - ${prop_name/mushroom_vulgaris_orange}
resource_name/specimen_mushroom_vulgaris_violet;${resource_name/specimen} - ${prop_name/mushroom_vulgaris_violet}
resource_name/specimen_mushroom_vulgaris_gray;${resource_name/specimen} - ${prop_name/mushroom_vulgaris_gray}
resource_name/specimen_mushroom_winding_violet;${resource_name/specimen} - ${prop_name/mushroom_winding_violet}
resource_name/specimen_mushroom_winding_orange;${resource_name/specimen} - ${prop_name/mushroom_winding_orange}
resource_name/specimen_mushroom_winding_gray;${resource_name/specimen} - ${prop_name/mushroom_winding_gray}
resource_name/specimen_tree_burdock_green;${resource_name/specimen} - ${prop_name/tree_burdock_green}
resource_name/specimen_tree_burdock_orange;${resource_name/specimen} - ${prop_name/tree_burdock_orange}
resource_name/specimen_tree_burdock_red;${resource_name/specimen} - ${prop_name/tree_burdock_red}
resource_name/specimen_tree_catkins_yellow;${resource_name/specimen} - ${prop_name/tree_catkins_yellow}
resource_name/specimen_tree_catkins_blue;${resource_name/specimen} - ${prop_name/tree_catkins_blue}
resource_name/specimen_tree_catkins_red;${resource_name/specimen} - ${prop_name/tree_catkins_red}
resource_name/specimen_tree_catkins_green;${resource_name/specimen} - ${prop_name/tree_catkins_green}
resource_name/specimen_tree_joshua_green;${resource_name/specimen} - ${prop_name/tree_joshua_green}
resource_name/specimen_tree_joshua_orange;${resource_name/specimen} - ${prop_name/tree_joshua_orange}
resource_name/specimen_tree_joshua_blue;${resource_name/specimen} - ${prop_name/tree_joshua_blue}
resource_name/specimen_tree_leaky_red;${resource_name/specimen} - ${prop_name/tree_leaky_red}
resource_name/specimen_tree_leaky_orange;${resource_name/specimen} - ${prop_name/tree_leaky_orange}
resource_name/specimen_tree_leaky_gray;${resource_name/specimen} - ${prop_name/tree_leaky_gray}
resource_name/specimen_tree_drexolian_green;${resource_name/specimen} - ${prop_name/tree_drexolian_green}
resource_name/specimen_tree_drexolian_pink;${resource_name/specimen} - ${prop_name/tree_drexolian_pink}
resource_name/specimen_tree_drexolian_red;${resource_name/specimen} - ${prop_name/tree_drexolian_red}
resource_name/specimen_tree_floss_violet;${resource_name/specimen} - ${prop_name/tree_floss_violet}
resource_name/specimen_tree_floss_orange;${resource_name/specimen} - ${prop_name/tree_floss_orange}
resource_name/specimen_tree_floss_red;${resource_name/specimen} - ${prop_name/tree_floss_red}
resource_name/specimen_mushroom_spiky_bulb_pink;${resource_name/specimen} - ${prop_name/mushroom_spiky_bulb_pink}
resource_name/specimen_mushroom_spiky_bulb_blue;${resource_name/specimen} - ${prop_name/mushroom_spiky_bulb_blue}
resource_name/specimen_mushroom_spiky_bulb_red;${resource_name/specimen} - ${prop_name/mushroom_spiky_bulb_red}
resource_name/specimen_crystal_pure_blue;${resource_name/specimen} - ${prop_name/crystal_pure_blue}
resource_name/specimen_crystal_pure_green;${resource_name/specimen} - ${prop_name/crystal_pure_green}
resource_name/specimen_crystal_pure_pink;${resource_name/specimen} - ${prop_name/crystal_pure_pink}
resource_name/specimen_crystal_pure_red;${resource_name/specimen} - ${prop_name/crystal_pure_red}
resource_name/specimen_crystal_entwined_blue;${resource_name/specimen} - ${prop_name/crystal_entwined_blue}
resource_name/specimen_crystal_entwined_green;${resource_name/specimen} - ${prop_name/crystal_entwined_green}
resource_name/specimen_crystal_entwined_yellow;${resource_name/specimen} - ${prop_name/crystal_entwined_yellow}
resource_name/specimen_crystal_entwined_purple;${resource_name/specimen} - ${prop_name/crystal_entwined_purple}
resource_name/specimen_crystal_entwined_red;${resource_name/specimen} - ${prop_name/crystal_entwined_red}
resource_name/specimen_cryo_plant;${resource_name/specimen} - ${prop_name/cryo_plant}
resource_name/specimen_magnetic_boulder;${resource_name/specimen} - ${prop_name/magnetic_boulder}
resource_name/specimen_bradron;${resource_name/specimen} - ${monster_name/bradron}
resource_name/specimen_bradron_alpha;${resource_name/specimen} - ${monster_name/bradron_alpha}
resource_name/specimen_bradron_ultra;${resource_name/specimen} - ${monster_name/bradron_ultra}
resource_name/specimen_brabit;${resource_name/specimen} - ${monster_name/brabit}
resource_name/specimen_flurian;${resource_name/specimen} - ${monster_name/flurian}
resource_name/specimen_flurian_alpha;${resource_name/specimen} - ${monster_name/flurian_alpha}
resource_name/specimen_flurian_ultra;${resource_name/specimen} - ${monster_name/flurian_ultra}
resource_name/specimen_hedroner_morphium;${resource_name/specimen} - ${monster_name/hedroner_morphium}
resource_name/specimen_idapian;${resource_name/specimen} - ${monster_name/idapian}
resource_name/specimen_idapian_metallic;${resource_name/specimen} - ${monster_name/idapian_metallic}
resource_name/specimen_octabit;${resource_name/specimen} - ${monster_name/octabit}
resource_name/specimen_octabit_alpha;${resource_name/specimen} - ${monster_name/octabit_alpha}
resource_name/specimen_octabit_ultra;${resource_name/specimen} - ${monster_name/octabit_ultra}
resource_name/specimen_stonger;${resource_name/specimen} - ${monster_name/stonger}
resource_name/specimen_wingmite;${resource_name/specimen} - ${monster_name/wingmite}
resource_name/specimen_wingmite_alpha;${resource_name/specimen} - ${monster_name/wingmite_alpha}
resource_name/specimen_wingmite_ultra;${resource_name/specimen} - ${monster_name/wingmite_ultra}
resource_name/specimen_alien_tower_artillery;${resource_name/specimen} - ${monster_name/alien_tower_artillery}
resource_name/specimen_alien_tower_plasma;${resource_name/specimen} - ${monster_name/alien_tower_plasma}
resource_name/specimen_spawner_alien;${resource_name/specimen} - ${monster_name/spawner_alien}
resource_name/specimen_bush_metallic_flowers;${resource_name/specimen} - ${prop_name/bush_metallic_flowers}
resource_name/specimen_cactus_thorn_red;${resource_name/specimen} - ${prop_name/cactus_thorn_red}
resource_name/specimen_cactus_thorn_blue;${resource_name/specimen} - ${prop_name/cactus_thorn_blue}
resource_name/specimen_cactus_thorn_pink;${resource_name/specimen} - ${prop_name/cactus_thorn_pink}
resource_name/specimen_crystal_metallic_red;${resource_name/specimen} - ${prop_name/crystal_metallic_red}
resource_name/specimen_crystal_metallic_purple;${resource_name/specimen} - ${prop_name/crystal_metallic_purple}
resource_name/specimen_crystal_metallic_blue;${resource_name/specimen} - ${prop_name/crystal_metallic_blue}
resource_name/specimen_grass_metallic_spiky;${resource_name/specimen} - ${prop_name/grass_metallic_spiky}
resource_name/specimen_mushroom_metallic_gray;${resource_name/specimen} - ${prop_name/mushroom_metallic_gray}
resource_name/specimen_mushroom_metallic_blue;${resource_name/specimen} - ${prop_name/mushroom_metallic_blue}
resource_name/specimen_mushroom_metallic_red;${resource_name/specimen} - ${prop_name/mushroom_metallic_red}
resource_name/specimen_mushroom_stump_orange;${resource_name/specimen} - ${prop_name/mushroom_stump_orange}
resource_name/specimen_mushroom_stump_red;${resource_name/specimen} - ${prop_name/mushroom_stump_red}
resource_name/specimen_mushroom_stump_golden;${resource_name/specimen} - ${prop_name/mushroom_stump_golden}
resource_name/specimen_stregaros_crystal;${resource_name/specimen} - ${monster_name/stregaros_crystal}
resource_name/specimen_stregaros_crystal_alpha;${resource_name/specimen} - ${monster_name/stregaros_crystal_alpha}
resource_name/specimen_stregaros_crystal_ultra;${resource_name/specimen} - ${monster_name/stregaros_crystal_ultra}
resource_name/specimen_arachnoid_crystal;${resource_name/specimen} - ${monster_name/arachnoid_crystal}
resource_name/specimen_arachnoid_crystal_alpha;${resource_name/specimen} - ${monster_name/arachnoid_crystal_alpha}
resource_name/specimen_arachnoid_crystal_ultra;${resource_name/specimen} - ${monster_name/arachnoid_crystal_ultra}
resource_name/specimen_canoptrix_crystal;${resource_name/specimen} - ${monster_name/canoptrix_crystal}
resource_name/specimen_canoptrix_crystal_alpha;${resource_name/specimen} - ${monster_name/canoptrix_crystal_alpha}
resource_name/specimen_canoptrix_crystal_ultra;${resource_name/specimen} - ${monster_name/canoptrix_crystal_ultra}
resource_name/specimen_crysder;${resource_name/specimen} - ${monster_name/crysder}
resource_name/specimen_moltug_crystal;${resource_name/specimen} - ${monster_name/moltug_crystal}
resource_name/specimen_moltug_crystal_alpha;${resource_name/specimen} - ${monster_name/moltug_crystal_alpha}
resource_name/specimen_moltug_crystal_ultra;${resource_name/specimen} - ${monster_name/moltug_crystal_ultra}
resource_name/specimen_crawlog;${resource_name/specimen} - ${monster_name/crawlog}
resource_name/specimen_crawlog_alpha;${resource_name/specimen} - ${monster_name/crawlog_alpha}
resource_name/specimen_crawlog_ultra;${resource_name/specimen} - ${monster_name/crawlog_ultra}
resource_name/specimen_gulgor;${resource_name/specimen} - ${monster_name/gulgor}
resource_name/specimen_gulgor_alpha;${resource_name/specimen} - ${monster_name/gulgor_alpha}
resource_name/specimen_gulgor_ultra;${resource_name/specimen} - ${monster_name/gulgor_ultra}
resource_name/specimen_drillgor;${resource_name/specimen} - ${monster_name/drillgor}
resource_name/specimen_drillgor_alpha;${resource_name/specimen} - ${monster_name/drillgor_alpha}
resource_name/specimen_drillgor_ultra;${resource_name/specimen} - ${monster_name/drillgor_ultra}
resource_name/specimen_viremoth;${resource_name/specimen} - ${monster_name/viremoth}
resource_name/specimen_viremoth_alpha;${resource_name/specimen} - ${monster_name/viremoth_alpha}
resource_name/specimen_viremoth_ultra;${resource_name/specimen} - ${monster_name/viremoth_ultra}
resource_name/specimen_gnerot_caverns;${resource_name/specimen} - ${monster_name/gnerot_caverns}
resource_name/specimen_mushroom_flat_top_orange;${resource_name/specimen} - ${prop_name/mushroom_flat_top_orange}
resource_name/specimen_mushroom_flat_top_azure;${resource_name/specimen} - ${prop_name/mushroom_flat_top_azure}
resource_name/specimen_mushroom_flat_top_white;${resource_name/specimen} - ${prop_name/mushroom_flat_top_white}
resource_name/specimen_tree_wyginus_pink;${resource_name/specimen} - ${prop_name/tree_wyginus_pink}
resource_name/specimen_tree_wyginus_orange;${resource_name/specimen} - ${prop_name/tree_wyginus_orange}
resource_name/specimen_tree_wyginus_blue;${resource_name/specimen} - ${prop_name/tree_wyginus_blue}
resource_name/specimen_crystal_edgy_orange;${resource_name/specimen} - ${prop_name/crystal_edgy_orange}
resource_name/specimen_crystal_edgy_fiery;${resource_name/specimen} - ${prop_name/crystal_edgy_fiery}
resource_name/specimen_crystal_edgy_blue;${resource_name/specimen} - ${prop_name/crystal_edgy_blue}
resource_name/specimen_cactus_vibro_blue;${resource_name/specimen} - ${prop_name/cactus_vibro_blue}
resource_name/specimen_cactus_vibro_orange;${resource_name/specimen} - ${prop_name/cactus_vibro_orange}
resource_name/specimen_cactus_vibro_gold;${resource_name/specimen} - ${prop_name/cactus_vibro_gold}
resource_name/specimen_mushroom_exploding_orange;${resource_name/specimen} - ${prop_name/mushroom_exploding_orange}
resource_name/specimen_mushroom_exploding_blue;${resource_name/specimen} - ${prop_name/mushroom_exploding_blue}
resource_name/specimen_mushroom_exploding_white;${resource_name/specimen} - ${prop_name/mushroom_exploding_white}
resource_name/specimen_mushroom_mycetoza_orange;${resource_name/specimen} - ${prop_name/mushroom_mycetoza_orange}
resource_name/specimen_mushroom_mycetoza_blue;${resource_name/specimen} - ${prop_name/mushroom_mycetoza_blue}
resource_name/specimen_mushroom_mycetoza_white;${resource_name/specimen} - ${prop_name/mushroom_mycetoza_white}
resource_name/specimen_bush_cibarium_blue;${resource_name/specimen} - ${prop_name/bush_cibarium_blue}
resource_name/specimen_bush_cibarium_orange;${resource_name/specimen} - ${prop_name/bush_cibarium_orange}
resource_name/specimen_bush_cibarium_golden;${resource_name/specimen} - ${prop_name/bush_cibarium_golden}
resource_name/specimen_cactus_anemone_orange;${resource_name/specimen} - ${prop_name/cactus_anemone_orange}
resource_name/specimen_cactus_anemone_violet;${resource_name/specimen} - ${prop_name/cactus_anemone_violet}
resource_name/specimen_cactus_anemone_green;${resource_name/specimen} - ${prop_name/cactus_anemone_green}
resource_name/specimen_mushroom_arachneum_pink;${resource_name/specimen} - ${prop_name/mushroom_arachneum_pink}
resource_name/specimen_mushroom_arachneum_orange;${resource_name/specimen} - ${prop_name/mushroom_arachneum_orange}
resource_name/specimen_mushroom_arachneum_green;${resource_name/specimen} - ${prop_name/mushroom_arachneum_green}
resource_name/specimen_mushroom_bocoletus_brown;${resource_name/specimen} - ${prop_name/mushroom_bocoletus_brown}
resource_name/specimen_mushroom_bocoletus_green;${resource_name/specimen} - ${prop_name/mushroom_bocoletus_green}
resource_name/specimen_mushroom_bocoletus_violet;${resource_name/specimen} - ${prop_name/mushroom_bocoletus_violet}
resource_name/specimen_mushroom_corallium_gray;${resource_name/specimen} - ${prop_name/mushroom_corallium_gray}
resource_name/specimen_mushroom_corallium_orange;${resource_name/specimen} - ${prop_name/mushroom_corallium_orange}
resource_name/specimen_mushroom_corallium_pink;${resource_name/specimen} - ${prop_name/mushroom_corallium_pink}
resource_name/specimen_mushroom_virsum_pink;${resource_name/specimen} - ${prop_name/mushroom_virsum_pink}
resource_name/specimen_mushroom_virsum_orange;${resource_name/specimen} - ${prop_name/mushroom_virsum_orange}
resource_name/specimen_mushroom_virsum_red;${resource_name/specimen} - ${prop_name/mushroom_virsum_red}
resource_name/specimen_tree_mallow_pink;${resource_name/specimen} - ${prop_name/tree_mallow_pink}
resource_name/specimen_tree_mallow_orange;${resource_name/specimen} - ${prop_name/tree_mallow_orange}
resource_name/specimen_tree_mallow_blue;${resource_name/specimen} - ${prop_name/tree_mallow_blue}
resource_name/specimen_tree_tongue_orange;${resource_name/specimen} - ${prop_name/tree_tongue_orange}
resource_name/specimen_tree_tongue_violet;${resource_name/specimen} - ${prop_name/tree_tongue_violet}
resource_name/specimen_tree_tongue_green;${resource_name/specimen} - ${prop_name/tree_tongue_green}
resource_name/specimen_mudroner;${resource_name/specimen} - ${monster_name/mudroner}
resource_name/specimen_plutrodon;${resource_name/specimen} - ${monster_name/plutrodon}
resource_name/specimen_plutrodon_alpha;${resource_name/specimen} - ${monster_name/plutrodon_alpha}
resource_name/specimen_plutrodon_ultra;${resource_name/specimen} - ${monster_name/plutrodon_ultra}
resource_name/specimen_stickrid;${resource_name/specimen} - ${monster_name/stickrid}
resource_name/specimen_stickrid_alpha;${resource_name/specimen} - ${monster_name/stickrid_alpha}
resource_name/specimen_stickrid_ultra;${resource_name/specimen} - ${monster_name/stickrid_ultra}
resource_name/specimen_fungor;${resource_name/specimen} - ${monster_name/fungor}
resource_name/specimen_fungor_alpha;${resource_name/specimen} - ${monster_name/fungor_alpha}
resource_name/specimen_fungor_ultra;${resource_name/specimen} - ${monster_name/fungor_ultra}
resource_name/specimen_canceroth;${resource_name/specimen} - ${monster_name/canceroth}
resource_name/specimen_canceroth_alpha;${resource_name/specimen} - ${monster_name/canceroth_alpha}
resource_name/specimen_canceroth_ultra;${resource_name/specimen} - ${monster_name/canceroth_ultra}
resource_name/specimen_artigian;${resource_name/specimen} - ${monster_name/artigian}
resource_name/specimen_artigian_alpha;${resource_name/specimen} - ${monster_name/artigian_alpha}
resource_name/specimen_artigian_ultra;${resource_name/specimen} - ${monster_name/artigian_ultra}
resource_name/specimen_invigor;${resource_name/specimen} - ${monster_name/invigor}
resource_name/specimen_invigor_alpha;${resource_name/specimen} - ${monster_name/invigor_alpha}
resource_name/specimen_invigor_ultra;${resource_name/specimen} - ${monster_name/invigor_ultra}
resource_name/specimen_poogret;${resource_name/specimen} - ${monster_name/poogret}
resource_name/specimen_darnot;${resource_name/specimen} - ${monster_name/darnot}
resource_name/specimen_lurkid;${resource_name/specimen} - ${monster_name/lurkid}
resource_name/specimen_spawner_swamp;${resource_name/specimen} - ${monster_name/spawner_swamp}
resource_name/specimen_spawner_swamp_canceroth;${resource_name/specimen} - ${monster_name/spawner_swamp_canceroth}
