;ITALIAN
DIALOG/story/acid/mech_resource_outpost_05;Abbiamo estratto metà del palladio che ci serve per finire di costruire l'Hyper Particle Condenser per la Rift Station. Sto rilevando un'attività aumentata tra la fauna locale.
DIALOG/story/acid/mech_resource_outpost_06;Attenzione! Sto rilevando un enorme sciame di creature che si sta dirigendo verso il nostro avamposto. Abbiamo ancora un po' di tempo per prepararci. Rafforzate le nostre difese il più possibile. Questo attacco sarà molto forte.
DIALOG/story/acid/mech_resource_outpost_07;Non ho rilevato grandi gruppi di creature nelle vicinanze della nostra base. Abbiamo respinto l'attacco.
DIALOG/story/acid/mech_resource_outpost_08;Ashley, abbiamo raccolto abbastanza Palladio per costruire l'Hyper Particle Condenser. Dovremmo tornare al quartier generale per iniziare il processo di costruzione.
DIALOG/story/acid/mech_scout_01;Salto nella fenditura riuscito. Scansione ambientale in corso. Ashley, i miei sensori indicano una composizione atmosferica altamente acida.
DIALOG/story/acid/mech_scout_02;Rilevo emissioni di fumi acidi vicino alla nostra posizione.
DIALOG/story/acid/mech_scout_03;Questa forma di vita si sta moltiplicando molto rapidamente. Sta suddividendo le sue cellule in modo simile al lievito terrestre. Il fluido all'interno di queste cellule è altamente corrosivo. Si prega di mantenere una distanza di sicurezza.
DIALOG/story/acid/mech_scout_04;Ashley, ti consiglio vivamente di usare un Bioscanner per raccogliere campioni da queste forme di vita. Il fluido al loro interno è un acido altamente condensato che può facilmente bruciare la mia armatura. Il Bioscanner ci consentirà di raccogliere campioni da una distanza di sicurezza.
DIALOG/story/acid/mech_scout_05;Non rilevo tracce di Palladio o altri oggetti di interesse in questa zona. Possiamo tornare al Quartier Generale e continuare a scansionare il pianeta alla ricerca di tracce di Palladio.
DIALOG/story/campaign/ashley_orbital_scanning_acid_01;Interessante, abbiamo trovato tracce di Palladio all'interno dei campioni di lievito acido che abbiamo appena raccolto. Potrebbe essere una buona idea cercare colonie più grandi di questa forma di vita. Potrebbero indicare la posizione di concentrazioni più elevate di Palladio.
DIALOG/story/campaign/ashley_orbital_scanning_acid_02;Le colonie di lievito acido che abbiamo osservato sembravano crescere da una radice centrale all'interno della colonia. Vorrei studiare una colonia vivente nel suo habitat naturale per raccogliere più dati su come raccoglie il palladio dall'ambiente. Per farlo, dovremo costruire una stazione di ricerca locale vicino a una delle colonie. Dovremo scaricare la tecnologia necessaria per quell'edificio, se non ce l'abbiamo ancora.
DIALOG/story/campaign/ashley_orbital_scanning_acid_03;Penso che possiamo impedire alla colonia di invadere la nostra base ricoprendo il terreno con una struttura su cui il lievito acido non possa crescere.
DIALOG/story/campaign/ashley_orbital_scanning_acid_04;Possiamo impedirlo. Ora che sappiamo il tipo di acido che questa forma di vita produce, possiamo ricercare una pavimentazione speciale e anti-corrosiva che proteggerà la nostra base. Dobbiamo solo costruire la Stazione di ricerca sulle piastrelle anti-corrosive.
DIALOG/story/campaign/ashley_orbital_scanning_acid_05;I dati che abbiamo raccolto dimostrano che questa forma di vita può digerire anche le più piccole tracce di palladio. Il palladio normalmente non reagisce con la maggior parte degli acidi, ma questa forma di vita usa una forma altamente concentrata di acido fluoridrico che viene riscaldato dai processi metabolici della creatura. Possiamo programmare l'Orbital Scanner per analizzare i modelli di crescita delle colonie di lievito acido. Questo dovrebbe aiutarci a trovare i depositi di palladio verso cui queste colonie si stanno muovendo.
DIALOG/story/campaign/ashley_orbital_scanning_acid_06;Interessante, se c'è del palladio lì e non gli interessa, allora qualcosa potrebbe impedirgli di crescere in quella zona. Dovremmo prepararci all'imprevisto.
DIALOG/story/campaign/ashley_orbital_scanning_acid_07;Bene. Forse ci saranno meno funghi esplosivi in ​​quella zona. In ogni caso, dovremmo ricordarci di usare il Geoscanner frequentemente.
DIALOG/story/campaign/ashley_orbital_scanning_desert_01;Ottenere accesso all'uranio ci permetterebbe di costruire centrali nucleari e qualche armamento pesante. Questo dovrebbe rendere la sopravvivenza su Galatea molto più facile.
DIALOG/story/campaign/ashley_orbital_scanning_desert_02;Sig. Riggs, penso che possiamo usare i dati sulla radiazione di fondo naturale che abbiamo appena raccolto per filtrare la radiazione naturale presente nel bioma desertico. Possiamo usare l'Orbital Scanner per cercare condensazioni di radiazione ancora più elevate per individuare una possibile posizione per l'estrazione del combustibile nucleare necessario per terminare la costruzione della Rift Station.
DIALOG/story/campaign/ashley_orbital_scanning_desert_03;Ottimo, dovremmo andarci il prima possibile. Sarebbe anche bene che la ricerca sulla schermatura dalle radiazioni fosse terminata prima di partire per quella missione.
DIALOG/story/campaign/ashley_orbital_scanning_desert_04;Questa è un'ottima notizia, signor Riggs. Andiamo lì per creare un avamposto minerario di uranio. Finalmente avremo accesso all'energia nucleare e ad armi migliori.
DIALOG/story/campaign/ashley_orbital_scanning_finished_01;Tutte queste località contengono pericoli ambientali estremi e specie sconosciute di creature. Dovremmo potenziare il più possibile la nostra Equipaggiamento prima di avventurarci in questi nuovi biomi.
DIALOG/story/campaign/ashley_orbital_scanning_magma_01;Riconosciuto, signor Riggs. Finalmente saremo in grado di raccogliere maggiori quantità di titanio per iniziare a produrre attrezzature migliori e terminare la costruzione della stazione Rift. Andiamo lì per stabilire un avamposto minerario di titanio il prima possibile.
DIALOG/story/campaign/mech_orbital_scanning_acid_01;La seconda area interessante è densamente ricoperta da nubi acide di origine sconosciuta. L'analisi spettrale ha rilevato tracce di Palladio sparse in tutta questa zona geografica. Ho contrassegnato un luogo sicuro per il salto di rift per la ricognizione iniziale sull'interfaccia Orbital Scanner.
DIALOG/story/campaign/mech_orbital_scanning_acid_02;Scansione orbitale completata. Abbiamo individuato una grande colonia di lievito acido. Ho contrassegnato le coordinate del salto di frattura sull'interfaccia dello scanner planetario. Attenzione! Si consiglia di sviluppare l'Acidic Shielding prima di visitare quella posizione. Sarà difficile sopravvivere lì senza.
DIALOG/story/campaign/mech_orbital_scanning_acid_03;Ashley, temo che la Stazione di ricerca non sarà in grado di scansionare la colonia da una distanza di sicurezza. Dovrebbe essere posizionata molto vicino alla radice della colonia per funzionare correttamente. Non saremo in grado di costruire nulla così vicino alla radice senza essere sopraffatti dalla sua crescita, soprattutto considerando il fatto che non vogliamo distruggerla.
DIALOG/story/campaign/mech_orbital_scanning_acid_04;Le piastrelle standard del pavimento saranno corrose dalla colonia.
DIALOG/story/campaign/mech_orbital_scanning_acid_05;Ashley affermativa. Scansione orbitale in corso, analisi dei modelli di crescita del lievito acido. Ci vorrà del tempo.
DIALOG/story/campaign/mech_orbital_scanning_acid_06;Scansione orbitale completata. Abbiamo calcolato le coordinate del salto di rift per una posizione potenzialmente ricca di palladio. Le colonie di lievito acido stanno crescendo ovunque intorno a quest'area.
DIALOG/story/campaign/mech_orbital_scanning_acid_07;Capito, Ashley. Sto avviando la procedura di scansione orbitale e sto cercando depositi di palladio estraibili. Nel frattempo dovremmo ricercare la tecnologia di gestione del palladio per poter effettivamente costruire stazioni di estrazione del palladio.
DIALOG/story/campaign/mech_orbital_scanning_acid_08;Scansione orbitale completata. Abbiamo calcolato una posizione favorevole per un avamposto minerario di palladio. Sto rilevando molteplici colonie di lievito acido in questa zona.
DIALOG/story/campaign/mech_orbital_scanning_acid_09;Ashley affermativa. Scansione orbitale in corso, mirata alle colonie di lievito acido.
DIALOG/story/campaign/mech_orbital_scanning_acid_09;Ashley affermativa. Scansione orbitale in corso, mirata alle colonie di lievito acido.
DIALOG/story/campaign/mech_orbital_scanning_acid_10;Il laboratorio di ricerca ha terminato la raccolta dei dati. Obiettivo completato.
DIALOG/story/campaign/mech_orbital_scanning_acid_11;Ashley affermativa. Scansione orbitale in corso, analisi dei modelli di crescita del lievito acido...
DIALOG/story/campaign/mech_orbital_scanning_acid_12;Scansione orbitale terminata. Abbiamo trovato qualcosa di interessante. Ci sono alcune aree all'interno delle Acidic Plains che sono completamente circondate dalle colonie di lievito. L'analisi spettrale conferma che il palladio dovrebbe essere presente lì, tuttavia, il lievito sta attivamente evitando queste zone.
DIALOG/story/campaign/mech_orbital_scanning_desert_01;Uno dei continenti di Galatea sembra essere un deserto arido che è stato bruciato da radiazioni intense e da un'attività solare molto intensa. Queste condizioni difficili sono molto probabilmente causate dall'elevata condensazione di elementi radioattivi come l'uranio o il torio. Le nostre scansioni hanno individuato un luogo sicuro per il salto di frattura per una missione di esplorazione iniziale.
DIALOG/story/campaign/mech_orbital_scanning_desert_02;Affermativo Ashley. A breve dovremmo avere qualche risultato disponibile.
DIALOG/story/campaign/mech_orbital_scanning_desert_03;Scansione orbitale completata. Ashley, abbiamo rilevato una nuova area nel bioma desertico che potrebbe potenzialmente contenere condensazioni più elevate o elementi radioattivi. Ho contrassegnato la sua posizione sull'interfaccia dello scanner orbitale.
DIALOG/story/campaign/mech_orbital_scanning_desert_04;Scansione orbitale in corso. Presto dovremmo avere una buona posizione per un avamposto minerario.
DIALOG/story/campaign/mech_orbital_scanning_desert_05;Scansione orbitale terminata. Abbiamo individuato ricchi depositi di Uranio in una nuova posizione planetaria. Ho contrassegnato le coordinate del salto di frattura sull'interfaccia dello scanner orbitale.
DIALOG/story/campaign/mech_orbital_scanning_finished_01;Procedura di geomappatura Orbital Scanner completata. Abbiamo raccolto molte informazioni molto utili sul pianeta e trovato tracce di elementi rari in più luoghi in tutto il mondo.
DIALOG/story/campaign/mech_orbital_scanning_in_progress_01;La procedura di geomappatura planetaria è in corso. Calcolo delle coordinate per possibili posizioni di salto di rift. Il processo sarà presto completato.
DIALOG/story/campaign/mech_orbital_scanning_magma_01;Scansione orbitale in corso. Ricerca di tracce di titanio nella zona vulcanica del pianeta. Ci vorrà del tempo per completarla.
DIALOG/story/campaign/mech_orbital_scanning_magma_02;Scansione orbitale terminata. Abbiamo individuato una nuova posizione planetaria con depositi sotterranei di titanio più grandi. Attenzione! I vulcani in quella zona sono molto attivi. Assicurati di equipaggiare tutti i potenziamenti per armature che abbiamo a disposizione prima di andarci.
DIALOG/story/campaign/mech_orbital_scanning_magma_03;Scansione orbitale in corso. Presto dovremmo avere una buona posizione per un avamposto minerario di titanio.
DIALOG/story/campaign/mech_orbital_scanning_magma_04;Scansione orbitale terminata. Abbiamo individuato ricchi depositi di titanio in una nuova posizione planetaria. Ho contrassegnato le coordinate del salto di frattura sull'interfaccia dello scanner orbitale.
DIALOG/story/campaign/mech_orbital_scanning_mech_01;Il titanio è stato rilevato in una vasta zona di intensa attività vulcanica. L'Orbital Scanner ha fornito alcune strane letture da questa zona, con temperature che vanno da ottocento a cento gradi Kelvin. Oltre a ciò, è del tutto impossibile ottenere letture sensate del campo magnetico da questa zona. Siamo riusciti a trovare un luogo sicuro per il salto di rift all'interno della zona vulcanica. Tuttavia, dovresti aspettarti condizioni ambientali estreme.
DIALOG/story/desert/ashley_find_new_resource_01;Bene. Questo significa che siamo davvero sulla buona strada. Non mi aspetto di trovare barre di uranio in giro. Usiamo il Geoscanner per cercare un po' di minerale.
DIALOG/story/desert/ashley_find_new_resource_02;Non otterremo buoni risultati cercando l'uranio in questo modo. È noioso.
DIALOG/story/desert/ashley_find_new_resource_03;Ottimo, andiamo subito lì.
DIALOG/story/desert/ashley_find_new_resource_04;Ci sono un sacco di creature in questa zona. Non arriveremo a quell'uranio senza combattere.
DIALOG/story/desert/ashley_find_new_resource_05;Grazie per il consiglio, signor Riggs. È molto utile...
DIALOG/story/desert/ashley_find_new_resource_06;Ok, abbiamo raccolto abbastanza campioni di uranio. Dobbiamo cercare depositi di minerale di uranio più grandi che potrebbero essere estratti in modo autonomo. Ora che conosciamo il tipo di minerale di uranio presente in quest'area, dovremmo scaricare la tecnologia appropriata di gestione dell'uranio per essere pronti a creare un avamposto minerario.
DIALOG/story/desert/ashley_find_new_resource_07;È come seguire una scia di briciole di pane, ma ho la sensazione che ci stiamo avvicinando.
DIALOG/story/desert/ashley_find_rare_resource_01;Interessante. Abbiamo trovato un'oasi in questo deserto. Sembra che una di quelle condensazioni sia attorno a una pozza di liquido. Dobbiamo vederlo.
DIALOG/story/desert/ashley_find_rare_resource_02;Ok, lo analizzeremo con il Geoscanner non appena saremo lì.
DIALOG/story/desert/ashley_find_rare_resource_03;Wow, questa è una vera oasi. Sembra incredibile. Questi cactus crescono come matti vicino a questo stagno.
DIALOG/story/desert/ashley_find_rare_resource_04;Questi cactus amano chiaramente crescere in questo posto. Condensano la Tanzanite dal terreno durante il loro processo di crescita. Sfortunatamente, questi sono troppo piccoli per raccogliere quantità significative di questa risorsa.
DIALOG/story/desert/ashley_find_rare_resource_05;Signor Riggs, credo di sapere come possiamo estrarre il deposito sotterraneo di Tanzanite. Possiamo usare l'acqua dell'oasi per alimentare un coltivatore. Se riusciamo a costruire una conduttura dall'oasi al deposito sotterraneo, potremmo accelerare la crescita dei cactus in quella zona. Queste piante estrarranno la Tanzanite per noi.
DIALOG/story/desert/ashley_find_rare_resource_06;Ok. Possiamo raccogliere questi cactus manualmente oppure possiamo automatizzare il processo costruendo ulteriori stazioni di raccolta.
DIALOG/story/desert/ashley_find_rare_resource_07;Eccellente. Possiamo creare delle armi davvero buone con questa quantità di Tanzanite.
DIALOG/story/desert/ashley_find_samples_01;Questa zona di riproduzione degli Stregaros si trova in una stretta valle rocciosa. La sua conformazione funziona come una grande galleria del vento e crea una tempesta di polvere quasi costante.
DIALOG/story/desert/ashley_find_samples_02;Sì, il Bioscanner sarà molto meglio di qualsiasi arma qui. Possiamo usarlo per scansionare queste creature da lontano senza renderle aggressive. È anche molto più veloce nel trovare buoni campioni di ricerca.
DIALOG/story/desert/ashley_find_samples_03;Interessante, forse è questo il vero motivo per cui ci sono così tante di queste creature in questa zona. Indaghiamoci sopra.
DIALOG/story/desert/ashley_find_samples_04;Questo enorme cristallo è la fonte dell'anomalia magnetica. Avviciniamoci per raccogliere campioni.
DIALOG/story/desert/ashley_find_samples_05;Questo cristallo si comporta in modo molto strano. Emette molte onde elettromagnetiche ad alta frequenza, hanno una regolarità distinta, quasi come se stesse suonando una canzone che non è destinata alle nostre orecchie. Cerchiamo di studiare questi campioni nel nostro laboratorio.
DIALOG/story/desert/ashley_find_samples_06;Oh no, il cristallo è distrutto.
DIALOG/story/desert/ashley_find_samples_07;Sicuramente non avremmo dovuto farlo.
DIALOG/story/desert/ashley_find_samples_08;Siamo sopravvissuti, ma ho la sensazione che ci saranno delle conseguenze.
DIALOG/story/desert/ashley_find_samples_09;C'è così tanta calma qui.
DIALOG/story/desert/ashley_resource_outpost_01;Ottimo, esploriamo la zona per trovare un buon posto dove costruire un Outpost permanente. Dovremmo cercare un sito che sia vicino a un deposito di uranio e che sia facilmente difendibile.
DIALOG/story/desert/ashley_resource_outpost_02;La nostra presenza non è gradita qui. Queste creature sanno che siamo qui e sono sicuro che è solo questione di tempo prima che inizino ad attaccare il nostro avamposto. Dovremmo costruire delle difese il prima possibile. Questi piccoli Mushbits simili a formiche sono molto veloci e molto aggressivi, attaccano in densi sciami, quindi sarebbe probabilmente meglio installare delle torri di fuoco contro di loro. Le nostre torri sentinella non saranno utili nemmeno contro le creature più grandi come Stregaros o Gnerots. Dovremmo installare delle torri di artiglieria o di plasma contro di loro. Non sarà facile sopravvivere qui.
DIALOG/story/desert/ashley_resource_outpost_03;Ok. L'estrazione del minerale di uranio è in corso. Ora dobbiamo iniziare a lavorare il minerale per creare uranio arricchito. Dovremo posizionare alcune centrifughe per uranio per farlo funzionare a un ritmo ragionevole.
DIALOG/story/desert/ashley_resource_outpost_04;È una buona idea. Dobbiamo ricordarci di costruire un numero adeguato di edifici Energy Storage per sopravvivere durante la notte, quando i pannelli solari non sono operativi.
DIALOG/story/desert/ashley_resource_outpost_05;Siamo a metà strada nella raccolta di uranio sufficiente per costruire l'acceleratore di campo di fusione per la stazione Rift.
DIALOG/story/desert/ashley_resource_outpost_06;L'operazione mineraria deve averne disturbati molti. Avremo bisogno di torri di difesa avanzate per respingere queste creature. Inoltre, non dimentichiamo di installare campi minati sui percorsi critici verso il nostro avamposto.
DIALOG/story/desert/ashley_resource_outpost_07;È stato intenso. Il nostro quartier generale nella giungla è davvero accogliente rispetto a questo posto... Abbiamo raccolto abbastanza uranio per costruire il Fusion Field Accelerator. Torniamo al quartier generale per iniziare il processo di costruzione.
DIALOG/story/desert/ashley_scout_01;La radiazione di fondo naturale in questa zona è molto alta. Ucciderebbe la maggior parte degli organismi viventi sulla Terra.
DIALOG/story/desert/ashley_scout_02;Anche l'atmosfera protettiva è molto sottile in questa zona. Le radiazioni UV del sole potrebbero rappresentare una minaccia reale. Non c'è da stupirsi che questa zona sembri un deserto. Dovremo migliorare la schermatura ambientale delle nostre strutture prima di allestire un avamposto più grande in questa zona.
DIALOG/story/desert/ashley_scout_03;Ok. Proviamo a esplorare più area possibile per alimentare i tuoi sensori con dati sufficienti.
DIALOG/story/desert/ashley_scout_04;Dovremmo fare ricerche su queste tecnologie prima di avventurarci ulteriormente in questo bioma. Le creature in questo deserto sono molto pericolose di per sé, quindi sarebbe bello preoccuparsi meno dell'ambiente stesso.
DIALOG/story/desert/ashley_stregaros_encounter_01;Affascinante. Guarda questa creatura. Ha un carapace molto denso e spesso, eppure si muove molto velocemente sulla sabbia. Dovremmo studiare questa specie più a fondo.
DIALOG/story/desert/ashley_stregaros_encounter_02;Passiamo le caratteristiche di questa creatura allo Scanner Orbitale e cerchiamo un luogo in cui possiamo trovarne altre.
DIALOG/story/desert/ashley_stregaros_find_01;Sembra molto interessante. Le creature in questo bioma sono diverse da qualsiasi cosa abbiamo visto prima. Andiamo alla sua posizione suggerita e cerchiamo di saperne di più.
DIALOG/story/desert/mech_build_on_sand_01;Ashley, hai posizionato questa struttura su sabbie mobili. Sprofonderà lentamente nella sabbia. Dovremmo posizionare le piastrelle Extra Stable Floor sulle sabbie mobili per evitare che sprofondi.
DIALOG/story/desert/mech_build_on_sand_02;Ashley, hai posizionato questa struttura su sabbie mobili. Sprofonderà lentamente nella sabbia. Dovremmo fare delle ricerche sulle piastrelle Extra Stable Floor, così da poterle posizionare sulle sabbie mobili per evitare che sprofondino.
DIALOG/story/desert/mech_find_new_resource_01;Salto nel Rift riuscito. Rilevo una radiazione di fondo molto alta in questa zona. È pericolosamente vicina al limite di sicurezza della mia armatura.
DIALOG/story/desert/mech_find_new_resource_02;Ashley. Questo è il nostro giorno fortunato. I miei sensori stanno rilevando un deposito sotterraneo di uranio più grande. L'ho segnato sulla nostra mappa.
DIALOG/story/desert/mech_find_new_resource_03;Puoi cercare l'uranio altrove, ma probabilmente ci vorrà più tempo. Puoi combattere queste creature, oppure puoi provare a trovare una soluzione diversa.
DIALOG/story/desert/mech_find_new_resource_04;Ashley, possiamo usare la traccia delle radiazioni del minerale di uranio che abbiamo raccolto per calibrare lo scanner orbitale e cercare depositi più significativi.
DIALOG/story/desert/mech_find_rare_resource_01;Salto di Rift riuscito. Questa zona è molto ricca di Tanzanite. Le mie scansioni hanno indicato due condensazioni particolarmente grandi nelle vicinanze. Ho segnato le loro posizioni sulla nostra minimappa.
DIALOG/story/desert/mech_find_rare_resource_02;Sì, è davvero strano. La seconda posizione sembra essere un po' più standard. È un grande deposito di tanzanite nascosto sottoterra. Si estende su un raggio più ampio.
DIALOG/story/desert/mech_find_rare_resource_03;Contengono molta Tanzanite. Possiamo raccoglierli per raccogliere la risorsa e anche per fare dei campioni di ricerca.
DIALOG/story/desert/mech_find_rare_resource_04;Ashley, c'è molta tanzanite in questa zona, ma la sua concentrazione è così bassa che non riuscirò a scavarla con la mia Equipaggiamento.
DIALOG/story/desert/mech_find_rare_resource_05;Bella idea, Ashley. La conduttura sarà lunga, ma funzionerà se riusciremo a metterla insieme. Le colonie Mushbit nella zona non renderanno le cose facili.
DIALOG/story/desert/mech_find_rare_resource_06;Il Cultivator è operativo. Ci vorrà del tempo per far crescere questi cactus fino alle dimensioni appropriate.
DIALOG/story/desert/mech_find_rare_resource_07;Non dimenticate di predisporre delle difese per il nostro piccolo avamposto qui. È quasi certo che saremo attaccati non appena la fauna locale verrà a conoscenza della nostra presenza.
DIALOG/story/desert/mech_find_rare_resource_08;Abbiamo raccolto abbastanza Tanzanite per iniziare a creare nuovi equipaggiamenti. Ashley, possiamo restare qui e cercare altri minerali, oppure possiamo tornare ai nostri obiettivi primari.
DIALOG/story/desert/mech_find_rare_resource_09;Potremmo raccogliere la Tanaznite direttamente dai cactus viola che crescono in questa zona se potessi familiarizzare le mie subroutine AI di estrazione delle risorse con questa specie. Possiamo raccogliere campioni di ricerca in modo molto efficace con il Bioscanner.
DIALOG/story/desert/mech_find_rare_resource_10;Ashley, le mie subroutine AI per l'estrazione delle risorse hanno finito di familiarizzare con questa specie di cactus viola. Ora possiamo estrarre la tanzanite direttamente da queste piante.
DIALOG/story/desert/mech_find_samples_01;Salto nella fenditura riuscito. Tempesta di polvere in arrivo. Preparati a una grave riduzione della visibilità.
DIALOG/story/desert/mech_find_samples_02;Sarà difficile combattere queste creature in queste condizioni. Possiamo raccogliere campioni di ricerca in modo più efficace usando il Bioscanner.
DIALOG/story/desert/mech_find_samples_03;Ashley, sto rilevando un'anomalia magnetica qui vicino. Potrebbe valere la pena di indagare in quella zona.
DIALOG/story/desert/mech_find_samples_04;Stai attenta, Ashley. Sembra fragile.
DIALOG/story/desert/mech_find_samples_05;Raccolta campioni completata.
DIALOG/story/desert/mech_find_samples_06;Attenzione! Rilevo molti movimenti diretti verso di noi.
DIALOG/story/desert/mech_find_samples_07;Non rilevo altri punti di interesse in questa zona. Possiamo fare un salto di rift per tornare alla base non appena sei pronto.
DIALOG/story/desert/mech_resource_outpost_01;Salto di Rift riuscito. Ashley, le nostre scansioni a lungo raggio erano corrette. Sto rilevando più depositi di uranio abbastanza grandi da poter essere estratti.
DIALOG/story/desert/mech_resource_outpost_02;Questa zona ha una composizione geologica molto ricca. Sto rilevando molteplici depositi di Ironio e Carbonio. Possiamo anche estrarli per migliorare la nostra economia.
DIALOG/story/desert/mech_resource_outpost_03;Non appena avremo messo in sicurezza questa zona, dovremmo iniziare a estrarre l'uranio.
DIALOG/story/desert/mech_resource_outpost_04;Le centrifughe all'uranio richiedono molta energia per funzionare. Possiamo sfruttare l'efficienza aumentata dei pannelli solari in questo bioma. Potremmo già iniziare a costruire centrali nucleari, ma non c'è acqua per raffreddare i reattori in questo bioma.
DIALOG/story/desert/mech_resource_outpost_05;Ashley, puoi accelerare il processo assicurandoti ulteriori depositi di uranio e costruendo più centrifughe per l'uranio.
DIALOG/story/desert/mech_resource_outpost_06;Attenzione! Sto rilevando un enorme sciame di creature che si sta dirigendo verso il nostro avamposto. Abbiamo ancora un po' di tempo per prepararci. Rafforzate le nostre difese il più possibile. Questo attacco sarà molto forte.
DIALOG/story/desert/mech_resource_outpost_07;Non ho rilevato grandi gruppi di creature nelle vicinanze della nostra base. Abbiamo respinto l'attacco.
DIALOG/story/desert/mech_resource_outpost_08;Ricorda che questo avamposto rimarrà una base operativa permanente. Possiamo espandere il numero di miniere di risorse operative in questa zona per dare una spinta alla nostra economia. Tutte le risorse prodotte qui saranno trasferite automaticamente al nostro quartier generale finché l'Orbital Scanner sarà attivo. I viaggi e i trasporti a lunga distanza attraverso le fenditure non sono possibili senza di esso.
DIALOG/story/desert/mech_scout_01;Salto nella fenditura riuscito. Scansione ambientale in corso...
DIALOG/story/desert/mech_scout_02;La mia schermatura standard contro le radiazioni può resistere a questi livelli di esposizione senza alcun danno. Tuttavia, se la radiazione di fondo è così elevata in quest'area, allora possiamo aspettarci fonti molto più intense di particelle gamma. Queste potrebbero rappresentare una seria minaccia.
DIALOG/story/desert/mech_scout_03;Ashley, dovremmo raccogliere più dati su quest'area. In seguito potremo usare le letture dei miei sensori per sviluppare una migliore schermatura contro radiazioni e UV sia per la mia armatura che per le nostre strutture.
DIALOG/story/desert/mech_scout_04;Completata la scansione ambientale. Abbiamo raccolto dati sufficienti per iniziare a sviluppare Advanced UV Shielding e Radiation Shielding nell'Alien Laboratory.
DIALOG/story/desert/mech_stregaros_encounter_01;Riesco a percepire la presenza di alcune di queste creature in questa zona, ma non sarà sufficiente per raccogliere campioni per la ricerca.
DIALOG/story/desert/mech_stregaros_encounter_02;Scansione orbitale completata. Abbiamo trovato un luogo che sembra un terreno fertile per la specie Stregaros. Possiamo andarci per studiarlo ulteriormente.
DIALOG/story/desert/mech_stregaros_find_01;Ashley, sto rilevando una nuova specie di creature con caratteristiche di movimento davvero insolite.
DIALOG/story/headquarters/ashley_alien_lab_01;La costruzione dell'Orbital Scanner è in corso, ma prima di iniziare a saltare in diverse parti del pianeta, dovremmo costruire le strutture di ricerca locali necessarie. Il Communications Hub può aiutarci solo con lo scaricamento di tecnologie già sviluppate dalla Terra. Tuttavia, uno dei motivi principali per cui siamo venuti qui è condurre ricerche e imparare qualcosa sull'ambiente che incontriamo qui.
DIALOG/story/headquarters/ashley_alien_lab_02;Ok, abbiamo scaricato tutte le tecnologie necessarie. Questo edificio richiede una fornitura di acqua pulita per funzionare. Sarebbe meglio posizionarlo vicino a una pozza di fango o fanghiglia che possiamo filtrare.
DIALOG/story/headquarters/ashley_alien_lab_03;Finalmente! L'Alien Research Lab è operativo. Possiamo iniziare a raccogliere campioni di ricerca e a scansionare la flora e la fauna locali. Possiamo anche creare il Bioscanner nell'Armeria per iniziare a raccogliere campioni senza danneggiare l'ambiente. Non dobbiamo uccidere le creature che non ci sono ostili per far progredire la nostra ricerca. È così emozionante. Possiamo finalmente iniziare a lavorare sulla cosa per cui siamo venuti qui.
DIALOG/story/headquarters/ashley_alien_lab_04;È vero, ma dobbiamo anche studiare questo pianeta per assicurarci che sia sicuro per la colonizzazione e per ridurre al minimo i danni arrecati all'ecosistema locale dai futuri coloni.
DIALOG/story/headquarters/ashley_alien_lab_05;Sono l'unico essere umano su questo pianeta. Posso stabilire la mia lista di priorità.
DIALOG/story/headquarters/ashley_alien_lab_06;Finalmente! L'Alien Research Lab è operativo. Possiamo iniziare a raccogliere campioni di ricerca e a scansionare la flora e la fauna locali. Possiamo usare il Bioscanner per iniziare a raccogliere campioni senza distruggere l'ambiente. È il modo più sicuro ed efficiente per far progredire la nostra ricerca. È così emozionante. Possiamo finalmente iniziare a lavorare sulla cosa per cui siamo venuti qui.
DIALOG/story/headquarters/ashley_alien_lab_07;Fantastico. Non vedo l'ora che venga costruito. Questo edificio aprirà una gamma completamente nuova di possibilità per noi. Se avessi avuto una base come quella su Orion, non avrei perso il braccio allora.
DIALOG/story/headquarters/ashley_alien_lab_08;Sono stato negligente mentre cercavo i cristalli di Anoryx. Ho trovato un'affascinante anomalia di crescita che stava trasformando tutto ciò che lo circondava. Non avevo mai visto niente del genere, quindi ho dovuto prendere un campione. Ero schermato dentro una tuta da ricognizione, ma quando ho afferrato il cristallo con la mano, l'ha semplicemente attraversato. Tutto il mio braccio era infetto.
DIALOG/story/headquarters/ashley_alien_lab_09;Funzionano solo in associazione con un laboratorio come questo. Non avevo una base su Orion o una Mecha-suit per costruirne una.
DIALOG/story/headquarters/ashley_alien_lab_10;Ok, non facciamoci prendere troppo dall'emotività. Se la si guarda da una prospettiva diversa, ho ricevuto una sostituzione biomeccanica migliorata del braccio e ho comunque ricevuto il campione.
DIALOG/story/headquarters/ashley_build_hq_01;La costruzione della sede centrale è in corso. Questa sarà la nostra base operativa principale su Galatea 37. La nostra nuova casa.
DIALOG/story/headquarters/ashley_build_hq_02;Questo è l'addestramento di base, signor Riggs. Concentriamoci sulle cose meno ovvie.
DIALOG/story/headquarters/ashley_cobalt_mining_outpost_01;Molti degli edifici più avanzati richiedono molto Cobalto per essere costruiti o potenziati. Non c'è abbastanza di questa risorsa in quest'area per soddisfare le nostre esigenze. Sig. Riggs, può calibrare lo Scanner Planetario per cercare altro Cobalto?
